Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data,Artisan Partners Asset Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.42,,11.1
2024-12-31,43.05,$3.64,11.83
2024-09-30,42.57,$3.59,11.86
2024-06-30,39.86,$3.32,12.01
2024-03-31,43.62,$3.28,13.3
2023-12-31,41.08,$3.16,13.0
2023-09-30,34.2,$3.00,11.4
2023-06-30,35.34,$2.89,12.23
2023-03-31,28.3,$2.75,10.29
2022-12-31,25.64,$2.93,8.75
2022-09-30,22.87,$3.42,6.69
2022-06-30,29.74,$4.07,7.31
2022-03-31,32.19,$4.78,6.73
2021-12-31,37.32,$5.07,7.36
2021-09-30,37.52,$4.97,7.55
2021-06-30,38.24,$4.60,8.31
2021-03-31,38.59,$3.99,9.67
2020-12-31,36.34,$3.33,10.91
2020-09-30,27.63,$2.94,9.4
2020-06-30,22.63,$2.72,8.32
2020-03-31,14.63,$2.66,5.5
2019-12-31,21.26,$2.60,8.18
2019-09-30,18.16,$2.41,7.54
2019-06-30,17.29,$2.47,7.0
2019-03-31,15.48,$2.53,6.12
2018-12-31,12.76,$2.81,4.54
2018-09-30,18.29,$1.57,11.65
2018-06-30,16.71,$1.41,11.85
2018-03-31,18.12,$1.14,15.89
2017-12-31,20.63,$0.76,27.14
2017-09-30,16.75,$1.85,9.05
2017-06-30,15.47,$1.65,9.37
2017-03-31,13.61,$1.58,8.62
2016-12-31,14.22,$1.56,9.12
2016-09-30,12.72,$1.61,7.9
2016-06-30,12.67,$1.64,7.72
2016-03-31,13.84,$1.76,7.86
2015-12-31,15.54,$1.84,8.44
2015-09-30,14.94,$1.95,7.66
2015-06-30,19.45,$2.08,9.35
2015-03-31,18.78,$2.00,9.39
2014-12-31,20.17,$-0.72,0.0
2014-09-30,20.56,$-4.34,0.0
2014-06-30,22.16,$-4.56,0.0
2014-03-31,24.87,$-4.60,0.0
2013-12-31,24.33,$-2.12,0.0
