Lisata Therapeutics PE Ratio Historical Data,Lisata Therapeutics PE Ratio Historical Data,Lisata Therapeutics PE Ratio Historical Data,Lisata Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.28,,0.0
2024-12-31,2.98,$-2.40,0.0
2024-09-30,3.0,$-2.51,0.0
2024-06-30,3.47,$-2.57,0.0
2024-03-31,3.12,$-2.46,0.0
2023-12-31,2.73,$-2.58,0.0
2023-09-30,2.14,$-2.68,0.0
2023-06-30,3.7,$-9.91,0.0
2023-03-31,3.25,$-11.06,0.0
2022-12-31,2.53,$-11.34,0.0
2022-09-30,4.63,$-12.23,0.0
2022-06-30,7.95,$-6.15,0.0
2022-03-31,10.83,$-6.00,0.0
2021-12-31,12.62,$-7.80,0.0
2021-09-30,18.3,$-10.34,0.0
2021-06-30,24.15,$-12.89,0.0
2021-03-31,28.95,$-3.90,0.0
2020-12-31,21.45,$-6.75,0.0
2020-09-30,27.0,$-9.60,0.0
2020-06-30,26.7,$-12.29,0.0
2020-03-31,27.0,$-27.14,0.0
2019-12-31,37.65,$-28.04,0.0
2019-09-30,38.85,$-26.39,0.0
2019-06-30,34.2,$-24.74,0.0
2019-03-31,54.3,$-23.69,0.0
2018-12-31,53.4,$-24.89,0.0
2018-09-30,88.5,$-23.84,0.0
2018-06-30,97.05,$-24.14,0.0
2018-03-31,87.6,$47.23,1.85
2017-12-31,52.65,$38.23,1.38
2017-09-30,53.7,$31.63,1.7
2017-06-30,69.75,$20.99,3.32
2017-03-31,75.45,$-64.02,0.0
2016-12-31,42.45,$-78.71,0.0
2016-09-30,69.6,$-156.22,0.0
2016-06-30,88.5,$-171.36,0.0
2016-03-31,112.5,$-208.40,0.0
2015-12-31,162.0,$-253.37,0.0
2015-09-30,223.5,$-212.89,0.0
2015-06-30,280.5,$-253.37,0.0
2015-03-31,381.0,$-256.37,0.0
2014-12-31,565.5,$-253.37,0.0
2014-09-30,829.5,$-275.86,0.0
2014-06-30,978.0,$-271.36,0.0
2014-03-31,1057.5,$-280.36,0.0
2013-12-31,1023.0,$-281.86,0.0
2013-09-30,1282.5,$-211.40,0.0
2013-06-30,840.0,$-152.92,0.0
2013-03-31,1020.0,$-308.85,0.0
2012-12-31,900.0,$-353.82,0.0
2012-09-30,1035.0,$-638.68,0.0
2012-06-30,735.0,$-749.63,0.0
2012-03-31,570.0,$-719.64,0.0
2011-12-31,765.0,$-599.70,0.0
2011-09-30,975.0,$-464.77,0.0
2011-06-30,2220.0,$-539.73,0.0
2011-03-31,2580.0,$-509.75,0.0
2010-12-31,2115.0,$-509.75,0.0
2010-09-30,3045.0,$-359.82,0.0
2010-06-30,2745.0,$-164.92,0.0
2010-03-31,2700.0,0,0.0
2009-12-31,2325.0,0,0.0
