Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data,Teck Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,42.48,,77.24
2024-12-31,40.53,$0.55,73.69
2024-09-30,52.09,$0.66,78.93
2024-06-30,47.3,$2.04,23.18
2024-03-31,45.12,$2.26,19.96
2023-12-31,41.57,$3.43,12.12
2023-09-30,42.28,$3.14,13.47
2023-06-30,41.22,$2.47,16.69
2023-03-31,35.66,$4.16,8.57
2022-12-31,36.5,$4.78,7.64
2022-09-30,29.27,$6.57,4.46
2022-06-30,29.34,$8.05,3.65
2022-03-31,38.68,$6.03,6.41
2021-12-31,27.25,$4.21,6.47
2021-09-30,23.52,$1.37,17.17
2021-06-30,21.72,$0.25,86.89
2021-03-31,18.05,$-0.34,0.0
2020-12-31,17.05,$-1.22,0.0
2020-09-30,13.05,$-1.78,0.0
2020-06-30,9.74,$-1.36,0.0
2020-03-31,7.04,$-0.86,0.0
2019-12-31,16.1,$0.40,40.25
2019-09-30,15.01,$2.20,6.82
2019-06-30,21.28,$3.38,6.3
2019-03-31,21.36,$3.92,5.45
2018-12-31,19.81,$4.12,4.81
2018-09-30,22.06,$4.58,4.82
2018-06-30,23.26,$3.71,6.27
2018-03-31,23.51,$3.60,6.53
2017-12-31,23.85,$3.30,7.23
2017-09-30,18.93,$3.16,5.99
2017-06-30,15.53,$2.66,5.84
2017-03-31,19.54,$1.95,10.02
2016-12-31,17.87,$1.34,13.34
2016-09-30,16.06,$-0.15,0.0
2016-06-30,11.73,$-3.30,0.0
2016-03-31,6.76,$-3.23,0.0
2015-12-31,3.43,$-3.25,0.0
2015-09-30,4.22,$-2.47,0.0
2015-06-30,8.71,$0.49,17.78
2015-03-31,11.94,$0.53,22.54
2014-12-31,11.87,$0.54,21.97
2014-09-30,15.91,$0.73,21.8
2014-06-30,19.23,$1.05,18.31
2014-03-31,17.91,$1.16,15.44
2013-12-31,21.49,$1.59,13.52
2013-09-30,21.78,$1.47,14.81
2013-06-30,17.34,$1.34,12.94
2013-03-31,22.42,$1.55,14.46
2012-12-31,28.94,$1.38,20.97
2012-09-30,23.15,$2.22,10.43
2012-06-30,24.32,$3.26,7.46
2012-03-31,27.69,$4.17,6.64
2011-12-31,27.32,$4.61,5.93
2011-09-30,22.41,$4.14,5.41
2011-06-30,38.95,$3.35,11.63
2011-03-31,40.43,$2.42,16.71
2010-12-31,47.15,$3.11,15.16
2010-09-30,31.22,$3.14,9.94
2010-06-30,22.44,$3.58,6.27
2010-03-31,32.86,$4.15,7.92
2009-12-31,26.38,$3.05,8.65
