Versus Systems PE Ratio Historical Data,Versus Systems PE Ratio Historical Data,Versus Systems PE Ratio Historical Data,Versus Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.1,,0.0
2024-09-30,1.2,$-1.29,0.0
2024-06-30,1.29,$-3.15,0.0
2024-03-31,2.08,$-5.65,0.0
2023-12-31,3.03,$-7.36,0.0
2023-09-30,0.21,$-99.52,0.0
2023-06-30,0.43,$-126.08,0.0
2023-03-31,0.55,$-161.42,0.0
2022-12-31,0.49,$-192.76,0.0
2022-09-30,2.81,$-115.00,0.0
2022-06-30,6.35,$-95.95,0.0
2022-03-31,20.25,$-167.92,0.0
2021-12-31,31.5,$-194.30,0.0
