"STEEL CONNECT, INC PE Ratio Historical Data","STEEL CONNECT, INC PE Ratio Historical Data","STEEL CONNECT, INC PE Ratio Historical Data","STEEL CONNECT, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,12.5,,4.28
2024-10-31,10.61,$2.92,3.63
2024-07-31,12.89,$3.07,4.2
2024-04-30,12.49,$3.13,3.99
2024-01-31,9.52,$0.99,9.58
2023-10-31,9.7,$0.63,15.48
2023-07-31,9.78,$1.04,9.43
2023-04-30,9.8,$0.84,11.66
2023-01-31,12.32,$5.14,2.4
2022-10-31,12.88,$1.68,7.66
2022-07-31,12.6,$-1.96,0.0
2022-04-30,11.95,$-3.73,0.0
2022-01-31,10.45,$-12.61,0.0
2021-10-31,18.48,$-9.34,0.0
2021-07-31,17.73,$-6.91,0.0
2021-04-30,18.29,$-5.32,0.0
2021-01-31,16.71,$-2.15,0.0
2020-10-31,5.41,$-2.43,0.0
2020-07-31,4.95,$-7.66,0.0
2020-04-30,7.19,$-9.15,0.0
2020-01-31,13.07,$-9.99,0.0
2019-07-31,16.61,$-10.55,0.0
2019-04-30,18.2,$-5.88,0.0
2019-01-31,15.49,$-3.73,0.0
2018-10-31,19.13,$-3.55,0.0
2018-07-31,19.79,$5.60,3.53
2019-10-31,14.56,$5.98,2.44
2018-04-30,18.2,$3.83,4.75
2018-01-31,20.81,$4.67,4.46
2017-10-31,16.99,$-4.76,0.0
2017-07-31,15.68,$-7.47,0.0
2017-04-30,15.77,$-8.22,0.0
2016-10-31,12.69,$-9.90,0.0
2016-07-31,11.95,$-11.11,0.0
2016-04-30,13.63,$-8.50,0.0
2016-01-31,20.07,$-8.31,0.0
2015-10-31,26.97,$-6.07,0.0
2015-07-31,30.33,$-3.36,0.0
2015-04-30,32.67,$-3.92,0.0
2015-01-31,33.69,$-3.45,0.0
2014-10-31,32.67,$-2.99,0.0
2014-07-31,34.81,$-4.58,0.0
2014-04-30,37.71,$-4.67,0.0
2014-01-31,48.07,$-5.70,0.0
2013-07-31,29.03,$-8.12,0.0
2013-04-30,26.13,$-10.83,0.0
2013-01-31,27.16,$-10.55,0.0
2012-10-31,27.35,$-10.55,0.0
2012-07-31,31.92,$-7.94,0.0
2012-04-30,46.2,$-5.60,0.0
2012-01-31,53.39,$-5.42,0.0
2011-10-31,39.01,$-2.61,0.0
2011-07-31,39.11,$-9.15,0.0
2011-04-30,48.91,$-8.59,0.0
2013-10-31,38.45,$-12.89,0.0
2011-01-31,48.99,$-13.73,0.0
2010-10-31,53.14,$-7.00,0.0
2010-07-31,52.42,$-6.44,0.0
2010-04-30,71.36,$-1.40,0.0
2010-01-31,81.11,$-35.48,0.0
2009-07-31,56.98,$-34.27,0.0
2009-04-30,29.57,$-33.89,0.0
