Nukkleus PE Ratio Historical Data,Nukkleus PE Ratio Historical Data,Nukkleus PE Ratio Historical Data,Nukkleus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.02,,inf
2024-09-30,0.29,0.0,0.0
2024-06-30,0.39,0.0,0.0
2024-03-31,0.98,0.0,0.0
2023-12-31,2.87,0.0,0.0
2023-09-30,11.62,0.0,0.0
2023-06-30,11.3,0.0,0.0
2023-03-31,10.98,0.0,0.0
2022-12-31,10.71,0.0,0.0
2022-09-30,10.57,0.0,0.0
2022-06-30,10.47,0.0,0.0
2022-03-31,10.35,0.0,0.0
2021-12-31,10.2,0.0,0.0
2021-09-30,10.14,0.0,0.0
2021-06-30,10.01,0.0,0.0
