Haleon PE Ratio Historical Data,Haleon PE Ratio Historical Data,Haleon PE Ratio Historical Data,Haleon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.39,,28.86
2024-09-30,10.58,$0.36,29.39
2024-06-30,8.26,$0.32,25.81
2024-03-31,8.49,$0.32,26.53
