Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data,Amgen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,315.04,,41.73
2024-12-31,260.64,$7.55,34.52
2024-09-30,319.63,$7.81,40.93
2024-06-30,307.79,$5.81,52.98
2024-03-31,278.09,$7.00,39.73
2023-12-31,279.54,$12.49,22.38
2023-09-30,258.8,$14.07,18.39
2023-06-30,212.08,$14.83,14.3
2023-03-31,228.76,$14.71,15.55
2022-12-31,246.35,$12.11,20.34
2022-09-30,209.98,$12.47,16.84
2022-06-30,224.92,$11.80,19.06
2022-03-31,221.78,$10.16,21.83
2021-12-31,204.56,$10.31,19.84
2021-09-30,191.73,$9.71,19.75
2021-06-30,218.11,$9.83,22.19
2021-03-31,221.09,$12.07,18.32
2020-12-31,202.79,$12.31,16.47
2020-09-30,222.67,$12.40,17.96
2020-06-30,205.26,$12.24,16.77
2020-03-31,175.26,$12.76,13.74
2019-12-31,206.92,$12.87,16.08
2019-09-30,165.01,$13.03,12.66
2019-06-30,157.14,$12.62,12.45
2019-03-31,160.63,$12.53,12.82
2018-12-31,163.32,$12.60,12.96
2018-09-30,172.73,$3.70,46.68
2018-06-30,152.78,$3.60,42.44
2018-03-31,140.04,$3.03,46.22
2017-12-31,141.81,$2.57,55.18
2017-09-30,151.02,$11.05,13.67
2017-06-30,138.57,$10.97,12.63
2017-03-31,131.06,$10.53,12.45
2016-12-31,116.0,$10.24,11.33
2016-09-30,131.45,$10.02,13.12
2016-06-30,119.21,$9.78,12.19
2016-03-31,116.71,$9.46,12.34
2015-12-31,125.47,$9.07,13.83
2015-09-30,106.25,$8.38,12.68
2015-06-30,117.49,$7.55,15.56
2015-03-31,121.73,$7.41,16.43
2014-12-31,120.68,$6.70,18.01
2014-09-30,106.02,$6.35,16.7
2014-06-30,88.91,$6.53,13.62
2014-03-31,92.14,$6.17,14.93
2013-12-31,84.8,$6.65,12.75
2013-09-30,82.85,$6.33,13.09
2013-06-30,72.71,$5.95,12.22
2013-03-31,75.22,$5.91,12.73
2012-12-31,62.9,$5.51,11.42
2012-09-30,61.25,$5.59,10.96
2012-06-30,52.75,$4.68,11.27
2012-03-31,48.93,$4.32,11.33
2011-12-31,45.98,$4.04,11.38
2011-09-30,39.16,$4.03,9.72
2011-06-30,41.35,$4.81,8.6
2011-03-31,37.88,$4.81,7.88
2010-12-31,38.91,$4.79,8.12
2010-09-30,39.06,$4.63,8.44
2010-06-30,37.28,$4.71,7.91
2010-03-31,42.41,$4.71,9.0
2009-12-31,40.09,$4.51,8.89
