Tilly's PE Ratio Historical Data,Tilly's PE Ratio Historical Data,Tilly's PE Ratio Historical Data,Tilly's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.34,,0.0
2024-10-31,4.02,$-1.77,0.0
2024-07-31,5.86,$-1.37,0.0
2024-04-30,6.07,$-1.41,0.0
2024-01-31,7.34,$-1.16,0.0
2023-10-31,8.1,$-0.46,0.0
2023-07-31,8.67,$-0.26,0.0
2023-04-30,7.51,$-0.09,0.0
2023-01-31,8.86,$0.34,26.06
2022-10-31,8.86,$0.71,12.48
2022-07-31,7.57,$1.20,6.31
2022-04-30,8.82,$1.73,5.1
2022-01-31,13.18,$2.06,6.4
2021-10-31,13.04,$1.97,6.62
2021-07-31,13.94,$1.38,10.1
2021-04-30,10.66,$0.90,11.84
2021-01-31,8.66,$-0.05,0.0
2020-10-31,5.43,$-0.13,0.0
2020-07-31,5.31,$0.01,531.18
2020-04-30,5.21,$0.14,37.18
2020-01-31,6.67,$0.75,8.89
2019-10-31,8.05,$0.83,9.7
2019-07-31,6.43,$0.83,7.74
2019-04-30,9.23,$0.85,10.85
2019-01-31,8.76,$0.87,10.07
2018-10-31,12.83,$0.81,15.84
2018-07-31,11.21,$0.90,12.46
2018-04-30,8.11,$0.55,14.74
2018-01-31,10.04,$0.50,20.08
2017-10-31,8.02,$0.49,16.36
2017-07-31,6.72,$0.41,16.38
2017-04-30,6.43,$0.48,13.4
2017-01-31,8.53,$0.39,21.87
2016-10-31,5.91,$0.27,21.87
2016-07-31,3.62,$0.15,24.14
2016-04-30,4.0,$0.12,33.36
2016-01-31,4.13,$0.27,15.3
2015-10-31,4.64,$0.42,11.05
2015-07-31,5.76,$0.50,11.52
2015-04-30,8.49,$0.53,16.02
2015-01-31,8.74,$0.50,17.49
2014-10-31,4.53,$0.44,10.3
2014-07-31,4.82,$0.48,10.04
2014-04-30,7.19,$0.58,12.4
2014-01-31,7.39,$0.64,11.55
2013-10-31,9.27,$0.80,11.58
2013-07-31,9.34,$0.91,10.27
2013-04-30,9.19,$0.72,12.76
