Greif PE Ratio Historical Data,Greif PE Ratio Historical Data,Greif PE Ratio Historical Data,Greif PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.26,,16.07
2025-01-31,61.22,$3.50,17.49
2024-10-31,61.93,$4.52,13.7
2024-07-31,65.56,$4.60,14.25
2024-04-30,59.76,$4.65,12.85
2024-01-31,60.56,$5.78,10.48
2023-10-31,60.93,$6.15,9.91
2023-07-31,70.44,$6.66,10.58
2023-04-30,59.37,$7.47,7.95
2023-01-31,66.97,$7.66,8.74
2022-10-31,61.61,$6.30,9.78
2022-07-31,65.22,$6.37,10.24
2022-04-30,55.6,$5.90,9.42
2022-01-31,53.79,$6.32,8.51
2021-10-31,58.37,$6.54,8.93
2021-07-31,54.31,$5.54,9.8
2021-04-30,53.82,$4.00,13.46
2021-01-31,39.87,$1.68,23.73
2020-10-31,35.52,$1.83,19.41
2020-07-31,30.08,$2.18,13.8
2020-04-30,28.92,$2.89,10.01
2020-01-31,33.99,$2.93,11.6
2019-10-31,32.61,$2.89,11.29
2019-07-31,28.79,$2.47,11.65
2019-04-30,32.12,$2.56,12.55
2019-01-31,31.36,$3.10,10.11
2018-10-31,37.64,$3.55,10.6
2018-07-31,43.0,$3.45,12.46
2018-04-30,45.87,$3.04,15.09
2018-01-31,45.97,$2.88,15.96
2017-10-31,42.89,$2.02,21.23
2017-07-31,43.0,$1.59,27.05
2017-04-30,44.6,$1.63,27.36
2017-01-31,43.48,$1.55,28.05
2016-10-31,35.11,$1.26,27.86
2016-07-31,29.8,$1.33,22.41
2016-04-30,25.5,$0.70,36.42
2016-01-31,19.14,$0.52,36.81
2015-10-31,23.42,$1.23,19.04
2015-07-31,21.88,$1.17,18.7
2015-04-30,28.47,$1.23,23.14
2015-01-31,26.4,$1.49,17.72
2014-10-31,30.17,$1.48,20.38
2014-07-31,34.06,$1.96,17.38
2014-04-30,36.49,$2.55,14.31
2014-01-31,33.81,$2.64,12.81
2013-10-31,35.44,$2.56,13.84
2013-07-31,36.34,$2.38,15.27
2013-04-30,31.4,$2.28,13.77
2013-01-31,30.38,$2.21,13.75
2012-10-31,26.88,$2.19,12.27
2012-07-31,27.46,$2.10,13.08
2012-04-30,33.7,$2.47,13.65
2012-01-31,30.2,$2.71,11.14
2011-10-31,27.65,$3.01,9.18
2011-07-31,37.36,$3.95,9.46
2011-04-30,37.76,$4.00,9.44
2011-01-31,38.08,$3.86,9.86
2010-10-31,35.23,$3.58,9.84
2010-07-31,35.52,$3.63,9.78
2010-04-30,35.0,$3.19,10.97
2010-01-31,28.4,$2.67,10.64
2009-10-31,31.2,$2.27,13.74
