Jaguar Animal Health PE Ratio Historical Data,Jaguar Animal Health PE Ratio Historical Data,Jaguar Animal Health PE Ratio Historical Data,Jaguar Animal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.25,,0.0
2024-09-30,1.35,$-8.70,0.0
2024-06-30,3.58,$-30.55,0.0
2024-03-31,5.39,$-51.81,0.0
2023-12-31,9.08,$-192.17,0.0
2023-09-30,15.6,$-192.17,0.0
2023-06-30,30.96,$-712.81,0.0
2023-03-31,37.65,"$-1,231.03",0.0
2022-12-31,391.05,"$-2,898.81",0.0
2022-09-30,702.0,"$-4,302.93",0.0
2022-06-30,1323.0,"$-4,982.34",0.0
2022-03-31,3188.25,"$-5,797.76",0.0
2021-12-31,4680.0,"$-5,344.96",0.0
2021-09-30,10215.0,"$-3,940.85",0.0
2021-06-30,21330.0,"$-5,571.72",0.0
2021-03-31,24300.0,"$-10,192.16",0.0
2020-12-31,11002.5,"$-16,443.35",0.0
2020-09-30,3908.25,"$-16,443.35",0.0
2020-06-30,6546.15,"$-40,768.65",0.0
2020-03-31,6481.35,"$-240,127.25",0.0
2019-12-31,10813.5,"$-460,593.40",0.0
2019-09-30,17685.0,"$-460,593.40",0.0
2019-06-30,63449.99,"$-918,076.40",0.0
2019-03-31,264127.47,"$-1,434,980.10",0.0
2018-12-31,216215.97,"$-1,919,286.20",0.0
2018-09-30,816952.39,"$-1,919,286.20",0.0
2018-06-30,1341899.83,"$-437,288.80",0.0
2018-03-31,2764124.5,"$-1,424,765.10",0.0
2017-12-31,1982231.64,"$-5,414,105.70",0.0
2017-09-30,2834999.49,"$-9,403,446.70",0.0
2017-06-30,7506681.75,"$-14,675,077.00",0.0
2017-03-31,14174997.45,"$-17,952,036.00",0.0
2016-12-31,10149298.17,"$-19,376,801.00",0.0
2016-09-30,18143996.73,"$-21,371,471.00",0.0
2016-06-30,26081995.31,"$-22,226,329.00",0.0
2016-03-31,22396495.97,"$-31,487,302.00",0.0
