Babcock PE Ratio Historical Data,Babcock PE Ratio Historical Data,Babcock PE Ratio Historical Data,Babcock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.9,,0.0
2024-09-30,2.04,$-0.83,0.0
2024-06-30,1.45,$-2.08,0.0
2024-03-31,1.13,$-2.42,0.0
2023-12-31,1.46,$-2.37,0.0
2023-09-30,4.21,$-1.61,0.0
2023-06-30,5.9,$-0.50,0.0
2023-03-31,6.06,$-0.47,0.0
2022-12-31,5.77,$-0.43,0.0
2022-09-30,6.38,$-0.15,0.0
2022-06-30,6.03,$0.20,30.15
2022-03-31,8.16,$0.29,28.14
2021-12-31,9.02,$0.21,42.95
2021-09-30,6.41,0,0.0
2021-06-30,7.88,$0.58,13.59
2021-03-31,9.47,$0.17,55.71
2020-12-31,3.51,$-0.29,0.0
2020-09-30,2.32,$-0.12,0.0
2020-06-30,2.28,$-2.20,0.0
2020-03-31,1.02,$-3.31,0.0
2019-12-31,3.64,$-5.53,0.0
2019-09-30,4.79,$-5.79,0.0
2019-06-30,3.43,$-10.70,0.0
2019-03-31,4.11,$-30.40,0.0
2018-12-31,3.9,$-54.80,0.0
2018-09-30,10.3,$-79.20,0.0
2018-06-30,23.8,$-97.70,0.0
2018-03-31,43.7,$-107.40,0.0
2017-12-31,56.8,$-81.50,0.0
2017-09-30,33.3,$-71.80,0.0
2017-06-30,117.6,$-45.20,0.0
2017-03-31,93.4,$-26.80,0.0
2016-12-31,165.9,$-23.40,0.0
2016-09-30,165.0,$-9.70,0.0
2016-06-30,146.9,$-10.40,0.0
