National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data,National Bank Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.31,,12.72
2024-12-31,43.06,$3.09,13.94
2024-09-30,41.85,$3.23,12.96
2024-06-30,38.57,$3.31,11.65
2024-03-31,35.62,$3.48,10.24
2023-12-31,36.44,$3.72,9.79
2023-09-30,28.92,$3.29,8.79
2023-06-30,27.99,$2.85,9.82
2023-03-31,31.98,$2.67,11.98
2022-12-31,39.96,$2.21,18.08
2022-09-30,34.95,$2.51,13.93
2022-06-30,35.97,$2.65,13.57
2022-03-31,37.64,$2.75,13.69
2021-12-31,40.84,$3.01,13.57
2021-09-30,37.45,$3.14,11.93
2021-06-30,34.7,$3.40,10.21
2021-03-31,36.29,$3.20,11.34
2020-12-31,29.8,$2.84,10.49
2020-09-30,23.73,$2.59,9.16
2020-06-30,24.24,$2.38,10.19
2020-03-31,21.3,$2.45,8.69
2019-12-31,31.19,$2.55,12.23
2019-09-30,30.11,$2.48,12.14
2019-06-30,31.79,$2.37,13.41
2019-03-31,28.97,$2.29,12.65
2018-12-31,26.76,$1.96,13.65
2018-09-30,32.64,$1.04,31.38
2018-06-30,33.34,$0.72,46.3
2018-03-31,28.62,$0.49,58.41
2017-12-31,27.84,$0.52,53.54
2017-09-30,30.56,$1.25,24.44
2017-06-30,28.27,$1.29,21.91
2017-03-31,27.67,$1.11,24.93
2016-12-31,27.09,$0.82,33.04
2016-09-30,19.8,$0.57,34.74
2016-06-30,17.22,$0.32,53.8
2016-03-31,17.2,$0.13,132.31
2015-12-31,17.98,$0.15,119.87
2015-09-30,17.24,$0.10,172.36
2015-06-30,17.44,$0.13,134.18
2015-03-31,15.71,$0.22,71.42
2014-12-31,16.17,$0.22,73.49
2014-09-30,15.89,$0.18,88.26
2014-06-30,16.53,$0.12,137.73
2014-03-31,16.59,$0.13,127.64
2013-12-31,17.65,$0.14,126.06
2013-09-30,16.9,$0.18,93.88
2013-06-30,16.17,$0.01,1616.7
