Ellington Credit PE Ratio Historical Data,Ellington Credit PE Ratio Historical Data,Ellington Credit PE Ratio Historical Data,Ellington Credit PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.76,,5.14
2024-09-30,6.81,$1.12,6.08
2024-06-30,6.56,$0.16,40.98
2024-03-31,6.37,$0.29,21.96
2023-12-31,5.44,$0.26,20.92
2023-09-30,5.29,$0.39,13.56
2023-06-30,5.92,$0.10,59.24
2023-03-31,5.8,$-0.81,0.0
2022-12-31,5.28,$-2.31,0.0
2022-09-30,4.59,$-3.40,0.0
2022-06-30,5.38,$-2.29,0.0
2022-03-31,7.05,$-1.83,0.0
2021-12-31,7.04,$-0.49,0.0
2021-09-30,7.37,$0.32,23.02
2021-06-30,7.57,$0.91,8.32
2021-03-31,7.72,$3.00,2.57
2020-12-31,8.0,$1.64,4.88
2020-09-30,6.66,$1.82,3.66
2020-06-30,6.03,$1.46,4.13
2020-03-31,3.02,$-0.28,0.0
2019-12-31,5.88,$1.79,3.28
2019-09-30,5.57,$0.21,26.53
2019-06-30,5.54,$-0.02,0.0
2019-03-31,5.97,$0.13,45.93
2018-12-31,4.99,$-0.89,0.0
2018-09-30,5.33,$-0.03,0.0
2018-06-30,4.99,$0.38,13.12
2018-03-31,4.85,$0.39,12.44
2017-12-31,5.15,$0.91,5.66
2017-09-30,6.03,$1.07,5.64
2017-06-30,5.93,$1.32,4.49
2017-03-31,5.77,$1.55,3.72
2016-12-31,4.98,$1.30,3.83
2016-09-30,4.83,$1.19,4.05
2016-06-30,4.71,$-0.07,0.0
2016-03-31,4.19,$-0.43,0.0
2015-12-31,4.17,$0.00,0.0
2015-09-30,3.95,$-0.24,0.0
2015-06-30,4.48,$0.68,6.59
2015-03-31,4.95,$1.87,2.65
2014-12-31,4.76,$1.77,2.69
2014-09-30,4.58,$1.89,2.42
2014-06-30,4.67,$2.24,2.08
2014-03-31,4.49,$-0.52,0.0
