REE Automotive PE Ratio Historical Data,REE Automotive PE Ratio Historical Data,REE Automotive PE Ratio Historical Data,REE Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.0,,0.0
2024-09-30,7.06,$-9.12,0.0
2024-06-30,3.92,$-8.95,0.0
2024-03-31,5.84,$-10.81,0.0
2023-12-31,5.14,$-11.54,0.0
2023-09-30,0.15,$-10.80,0.0
2023-06-30,0.38,$-11.71,0.0
2023-03-31,0.33,$-11.71,0.0
2022-12-31,0.39,$-11.11,0.0
2022-09-30,0.68,$-13.21,0.0
2022-06-30,1.16,$-57.06,0.0
2022-03-31,1.9,$-59.16,0.0
2021-12-31,5.55,$-56.76,0.0
