Markforged Holding PE Ratio Historical Data,Markforged Holding PE Ratio Historical Data,Markforged Holding PE Ratio Historical Data,Markforged Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.74,,0.0
2024-09-30,4.77,$-4.35,0.0
2024-06-30,0.41,$-5.80,0.0
2024-03-31,0.84,$-6.10,0.0
2023-12-31,0.82,$-5.30,0.0
2023-09-30,1.45,$-5.10,0.0
2023-06-30,1.21,$-3.70,0.0
2023-03-31,0.96,$-2.50,0.0
2022-12-31,1.16,$-1.30,0.0
2022-09-30,1.98,$-0.60,0.0
2022-06-30,1.85,$2.00,0.93
2022-03-31,3.99,$-0.80,0.0
2021-12-31,5.37,$-1.00,0.0
2021-09-30,6.56,$-1.20,0.0
