Funko PE Ratio Historical Data,Funko PE Ratio Historical Data,Funko PE Ratio Historical Data,Funko PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.24,,0.0
2024-12-31,13.39,$-0.27,0.0
2024-09-30,12.22,$-0.48,0.0
2024-06-30,9.76,$-0.87,0.0
2024-03-31,6.24,$-2.51,0.0
2023-12-31,7.73,$-3.23,0.0
2023-09-30,7.65,$-3.91,0.0
2023-06-30,10.82,$-3.41,0.0
2023-03-31,9.43,$-1.59,0.0
2022-12-31,10.91,$-0.19,0.0
2022-09-30,20.22,$0.98,20.63
2022-06-30,22.32,$1.07,20.86
2022-03-31,17.25,$1.13,15.27
2021-12-31,18.8,$1.07,17.57
2021-09-30,18.21,$1.03,17.68
2021-06-30,21.28,$1.02,20.86
2021-03-31,19.68,$0.38,51.79
2020-12-31,10.38,$0.09,115.33
2020-09-30,5.79,$-0.27,0.0
2020-06-30,5.8,$-0.29,0.0
2020-03-31,3.99,$0.17,23.47
2019-12-31,17.16,$0.37,46.38
2019-09-30,20.58,$0.72,28.58
2019-06-30,24.22,$0.55,44.04
2019-03-31,21.72,$0.40,54.3
2018-12-31,13.15,$0.36,36.53
2018-09-30,23.69,$0.20,118.45
