Global Medical REIT PE Ratio Historical Data,Global Medical REIT PE Ratio Historical Data,Global Medical REIT PE Ratio Historical Data,Global Medical REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.69,,869.0
2024-12-31,7.72,$0.01,0.0
2024-09-30,9.91,$-0.02,0.0
2024-06-30,8.89,0,0.0
2024-03-31,8.37,$0.23,36.37
2023-12-31,10.36,$0.23,45.05
2023-09-30,8.22,$0.25,32.89
2023-06-30,8.18,$0.32,25.56
2023-03-31,7.97,$0.17,46.91
2022-12-31,8.09,$0.20,40.45
2022-09-30,7.11,$0.25,28.44
2022-06-30,9.17,$0.19,48.25
2022-03-31,13.08,$0.20,65.38
2021-12-31,14.04,$0.19,73.88
2021-09-30,11.49,$0.15,76.58
2021-06-30,11.38,$-0.13,0.0
2021-03-31,9.97,$-0.17,0.0
2020-12-31,9.78,$-0.17,0.0
2020-09-30,9.96,$-0.16,0.0
2020-06-30,8.23,$0.08,102.87
2020-03-31,7.22,$0.11,65.64
2019-12-31,9.25,$0.10,92.48
2019-09-30,7.85,$0.38,20.65
2019-06-30,7.1,$0.37,19.2
2019-03-31,6.52,$0.34,19.18
2018-12-31,5.78,$0.34,17.01
2018-09-30,5.99,$0.02,299.41
2018-06-30,5.52,$0.03,183.87
2018-03-31,4.24,$-0.01,0.0
2017-12-31,4.86,$-0.17,0.0
2017-09-30,5.19,$-0.27,0.0
2017-06-30,5.05,$-0.40,0.0
2017-03-31,5.04,$-0.71,0.0
