Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data,Centerspace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,64.18,,0.0
2024-12-31,66.15,$-1.27,0.0
2024-09-30,70.47,$-1.61,0.0
2024-06-30,67.63,$-0.80,0.0
2024-03-31,57.14,$-0.80,0.0
2023-12-31,57.43,$2.33,24.65
2023-09-30,59.47,$2.74,21.7
2023-06-30,60.55,$2.19,27.65
2023-03-31,53.27,$2.08,25.61
2022-12-31,56.44,$-1.36,0.0
2022-09-30,63.97,$-1.73,0.0
2022-06-30,77.49,$-2.40,0.0
2022-03-31,92.39,$-0.62,0.0
2021-12-31,103.66,$-0.43,0.0
2021-09-30,87.76,$-0.28,0.0
2021-06-30,73.27,$1.91,38.36
2021-03-31,63.15,$0.03,2104.94
2020-12-31,64.94,$-0.15,0.0
2020-09-30,59.92,$4.20,14.27
2020-06-30,64.81,$5.36,12.09
2020-03-31,50.57,$5.87,8.61
2019-12-31,66.65,$6.00,11.11
2019-09-30,68.65,$2.11,32.54
2019-06-30,53.94,$-0.43,0.0
2019-03-31,55.08,$-1.04,0.0
2018-12-31,44.58,$-0.50,0.0
2018-10-31,48.63,$-0.40,0.0
2018-09-30,53.56,$-0.40,0.0
2018-07-31,49.08,$-1.80,0.0
2018-06-30,49.53,$-1.80,0.0
2018-04-30,47.74,$-1.90,0.0
2018-03-31,46.48,$-1.90,0.0
2018-01-31,50.78,0,0.0
2017-10-31,52.4,0,0.0
2017-07-31,55.05,0,0.0
2017-04-30,51.73,0,0.0
2017-01-31,55.7,0,0.0
2016-10-31,52.5,0,0.0
2016-07-31,57.26,0,0.0
2016-04-30,51.03,0,0.0
2016-01-31,55.26,0,0.0
2015-10-31,67.58,0,0.0
2015-07-31,58.87,0,0.0
2015-04-30,58.55,0,0.0
2015-01-31,66.15,0,0.0
2014-10-31,67.36,0,0.0
2014-07-31,68.32,0,0.0
2014-04-30,69.92,0,0.0
2014-01-31,68.64,0,0.0
2013-10-31,67.07,0,0.0
2013-07-31,66.16,0,0.0
2013-04-30,73.37,0,0.0
2013-01-31,69.64,0,0.0
2012-10-31,61.7,0,0.0
2012-07-31,58.87,0,0.0
2012-04-30,51.18,0,0.0
2012-01-31,51.73,0,0.0
2011-10-31,50.77,0,0.0
2011-07-31,54.75,0,0.0
2011-04-30,62.21,0,0.0
2011-01-31,58.0,0,0.0
2010-10-31,56.03,0,0.0
2010-07-31,52.84,0,0.0
2010-04-30,53.43,0,0.0
2010-01-31,52.45,0,0.0
2009-10-31,49.36,0,0.0
