Entero Therapeutics PE Ratio Historical Data,Entero Therapeutics PE Ratio Historical Data,Entero Therapeutics PE Ratio Historical Data,Entero Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.51,,0.0
2024-09-30,0.34,$-4.07,0.0
2024-06-30,1.23,$-12.68,0.0
2024-03-31,4.38,$-46.62,0.0
2023-12-31,4.2,$-83.40,0.0
2023-09-30,5.8,$-272.80,0.0
2023-06-30,32.0,$100.29,0.32
2023-03-31,53.6,$-912.65,0.0
2022-12-31,122.58,"$-3,650.19",0.0
2022-09-30,207.2,"$-3,460.79",0.0
2022-06-30,840.0,"$-17,568.30",0.0
2022-03-31,4452.0,"$-23,242.27",0.0
2021-12-31,6069.0,"$-26,352.45",0.0
2021-09-30,11802.0,"$-39,381.57",0.0
2021-06-30,34440.0,"$-45,391.78",0.0
2021-03-31,56279.99,"$-45,812.07",0.0
2020-12-31,40740.0,"$-48,333.84",0.0
2020-09-30,29862.0,"$-36,145.31",0.0
2020-06-30,38056.2,"$-23,536.48",0.0
2020-03-31,24360.0,"$-26,898.84",0.0
2019-12-31,43680.0,"$-29,420.60",0.0
2019-09-30,25200.0,"$-38,667.07",0.0
2019-06-30,71399.99,"$-37,826.49",0.0
2019-03-31,101639.99,"$-36,565.60",0.0
2018-12-31,50819.99,"$-37,826.48",0.0
2018-09-30,107939.99,"$-36,565.60",0.0
2018-06-30,134819.99,"$-42,029.43",0.0
2018-03-31,131879.99,"$-44,130.90",0.0
2017-12-31,152766.58,"$-44,130.90",0.0
2017-09-30,167579.98,"$-35,304.72",0.0
