Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data,Cameco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.85,,236.05
2024-09-30,47.63,$0.19,250.67
2024-06-30,49.06,$0.43,114.1
2024-03-31,43.2,$0.39,110.77
2023-12-31,42.98,$0.60,71.64
2023-09-30,39.45,$0.44,89.66
2023-06-30,31.18,$0.15,207.87
2023-03-31,26.05,$0.29,89.81
2022-12-31,22.56,$0.17,132.72
2022-09-30,26.28,$0.22,119.47
2022-06-30,20.84,$0.12,173.68
2022-03-31,28.85,$-0.11,0.0
2021-12-31,21.62,$-0.20,0.0
2021-09-30,21.49,$-0.07,0.0
2021-06-30,18.97,$-0.04,0.0
2021-03-31,16.43,$-0.06,0.0
2020-12-31,13.25,$-0.09,0.0
2020-09-30,9.93,$-0.00,0.0
2020-06-30,10.08,$0.09,111.96
2020-03-31,7.51,$0.14,53.65
2019-12-31,8.75,$0.14,62.49
2019-09-30,9.28,$0.20,46.39
2019-06-30,10.48,$0.27,38.82
2019-03-31,11.52,$0.16,71.97
2018-12-31,11.09,$0.31,35.76
2018-09-30,11.08,$-0.12,0.0
2018-06-30,10.93,$-0.42,0.0
2018-03-31,8.83,$-0.27,0.0
2017-12-31,8.97,$-0.42,0.0
2017-09-30,9.32,$-0.56,0.0
2017-06-30,8.7,$-0.03,0.0
2017-03-31,10.5,$-0.30,0.0
2016-12-31,9.86,$-0.11,0.0
2016-09-30,8.01,$0.14,57.18
2016-06-30,10.17,$-0.15,0.0
2016-03-31,11.82,$0.30,39.39
2015-12-31,11.28,$0.13,86.77
2015-09-30,11.07,$0.29,38.17
2015-06-30,12.91,$-0.03,0.0
2015-03-31,12.52,$0.08,156.5
2014-12-31,14.67,$0.40,36.66
2014-09-30,15.7,$0.41,38.3
2014-06-30,17.35,$1.25,13.88
2014-03-31,20.16,$1.05,19.2
2013-12-31,18.21,$0.77,23.65
2013-09-30,15.77,$0.73,21.61
2013-06-30,17.94,$0.43,41.72
2013-03-31,17.96,$0.36,49.89
2012-12-31,16.97,$0.68,24.95
2012-09-30,16.65,$1.24,13.43
2012-06-30,18.69,$1.13,16.54
2012-03-31,18.22,$1.26,14.46
2011-12-31,15.23,$1.16,13.13
2011-09-30,15.37,$1.01,15.22
2011-06-30,21.99,$1.16,18.96
2011-03-31,24.97,$1.18,21.16
2010-12-31,33.46,$1.29,25.93
2010-09-30,22.93,$2.22,10.33
2010-06-30,17.56,$2.37,7.41
2010-03-31,22.54,$2.78,8.11
2009-12-31,26.39,$2.61,10.11
