Denny's PE Ratio Historical Data,Denny's PE Ratio Historical Data,Denny's PE Ratio Historical Data,Denny's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.02,,9.8
2024-12-31,6.05,$0.41,14.76
2024-09-30,6.45,$0.33,19.55
2024-06-30,7.1,$0.35,20.29
2024-03-31,8.96,$0.43,20.84
2023-12-31,10.88,$0.35,31.09
2023-09-30,8.47,$0.52,16.29
2023-06-30,12.32,$0.67,18.39
2023-03-31,11.16,$0.89,12.54
2022-12-31,9.21,$1.22,7.55
2022-09-30,9.41,$1.67,5.63
2022-06-30,8.68,$1.57,5.53
2022-03-31,14.31,$1.19,12.03
2021-12-31,16.0,$1.20,13.33
2021-09-30,16.34,$0.57,28.67
2021-06-30,16.49,$0.48,34.35
2021-03-31,18.11,$0.08,226.38
2020-12-31,14.68,$-0.11,0.0
2020-09-30,10.0,$0.16,62.5
2020-06-30,10.1,$0.86,11.74
2020-03-31,7.68,$1.82,4.22
2019-12-31,19.88,$1.90,10.46
2019-09-30,22.77,$1.77,12.86
2019-06-30,20.53,$1.13,18.17
2019-03-31,18.35,$0.76,24.14
2018-12-31,16.21,$0.67,24.19
2018-09-30,14.72,$0.68,21.65
2018-06-30,15.93,$0.65,24.51
2018-03-31,15.43,$0.59,26.15
2017-12-31,13.24,$0.56,23.64
2017-09-30,12.45,$0.52,23.94
2017-06-30,11.77,$0.52,22.63
2017-03-31,12.37,$0.25,49.48
2016-12-31,12.83,$0.26,49.35
2016-09-30,10.69,$0.21,50.9
2016-06-30,10.73,$0.19,56.47
2016-03-31,10.36,$0.45,23.02
2015-12-31,9.83,$0.42,23.4
2015-09-30,11.03,$0.43,25.65
2015-06-30,11.61,$0.42,27.64
2015-03-31,11.4,$0.40,28.5
2014-12-31,10.31,$0.37,27.86
2014-09-30,7.03,$0.31,22.68
2014-06-30,6.52,$0.29,22.48
2014-03-31,6.43,$0.27,23.81
2013-12-31,7.19,$0.27,26.63
2013-09-30,6.11,$0.29,21.07
2013-06-30,5.62,$0.27,20.81
2013-03-31,5.78,$0.25,23.1
2012-12-31,4.88,$0.24,20.33
2012-09-30,4.84,$1.11,4.36
2012-06-30,4.42,$1.13,3.91
2012-03-31,4.04,$1.16,3.48
2011-12-31,3.76,$1.14,3.3
2011-09-30,3.33,$0.23,14.48
2011-06-30,3.88,$0.25,15.52
2011-03-31,4.06,$0.22,18.45
2010-12-31,3.58,$0.23,15.57
2010-09-30,3.11,$0.38,8.18
2010-06-30,2.6,$0.38,6.84
2010-03-31,3.85,$0.42,9.17
2009-12-31,2.19,$0.41,5.34
