AMREP PE Ratio Historical Data,AMREP PE Ratio Historical Data,AMREP PE Ratio Historical Data,AMREP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.25,,8.82
2025-01-31,30.36,$2.41,12.6
2024-10-31,30.41,$2.30,13.22
2024-07-31,25.46,$1.76,14.47
2024-04-30,20.28,$1.25,16.23
2024-01-31,20.38,$0.54,37.74
2023-10-31,16.69,$3.64,4.59
2023-07-31,18.01,$4.11,4.38
2023-04-30,13.9,$4.22,3.29
2023-01-31,13.62,$5.57,2.44
2022-10-31,12.1,$2.57,4.71
2022-07-31,14.1,$2.34,6.03
2022-04-30,12.86,$2.20,5.85
2022-01-31,12.0,$1.30,9.23
2021-10-31,14.02,$1.46,9.6
2021-07-31,13.42,$1.11,12.09
2021-04-30,10.7,$0.96,11.15
2021-01-31,8.0,$-0.03,0.0
2020-10-31,6.51,$-0.27,0.0
2020-07-31,4.46,$-0.64,0.0
2020-04-30,4.84,$-0.73,0.0
2020-01-31,6.1,$-0.25,0.0
2019-10-31,5.87,$-0.29,0.0
2019-07-31,6.1,$-0.02,0.0
2019-04-30,5.58,$0.01,558.0
2019-01-31,6.22,$0.18,34.56
2018-10-31,6.66,$-0.17,0.0
2018-07-31,7.36,$-0.14,0.0
2018-04-30,7.25,$0.03,241.67
2018-01-31,7.62,$-0.25,0.0
2017-10-31,7.18,$0.12,59.81
2017-07-31,6.88,$0.10,68.8
2017-04-30,6.01,0,0.0
2017-01-31,7.04,$-0.86,0.0
2016-10-31,7.39,$-0.95,0.0
2016-07-31,5.61,$-1.04,0.0
2016-04-30,4.45,$-1.27,0.0
2016-01-31,3.92,$-0.30,0.0
2015-10-31,4.4,$-0.20,0.0
2015-07-31,5.15,$-0.09,0.0
2015-04-30,5.11,$0.88,5.81
2015-01-31,3.76,$0.55,6.84
2014-10-31,3.87,$0.52,7.44
2014-07-31,5.72,$0.50,11.44
2014-04-30,5.44,$-0.43,0.0
2014-01-31,7.23,$-0.52,0.0
2013-10-31,8.0,$-0.52,0.0
2013-07-31,10.03,$-0.48,0.0
2013-04-30,9.0,$-0.47,0.0
2013-01-31,9.96,$-0.32,0.0
2012-10-31,6.5,$-0.37,0.0
2012-07-31,6.12,$-0.24,0.0
2012-04-30,7.77,$-0.19,0.0
2012-01-31,6.0,$-1.43,0.0
2011-10-31,7.46,$-1.17,0.0
2011-07-31,8.94,$-1.23,0.0
2011-04-30,10.0,$-1.26,0.0
2011-01-31,12.83,$-0.87,0.0
2010-10-31,9.99,$-1.20,0.0
2010-07-31,11.97,$-1.48,0.0
2010-04-30,14.5,$-1.58,0.0
2010-01-31,13.7,$-8.19,0.0
2009-10-31,12.17,$-8.09,0.0
