Actelis Networks PE Ratio Historical Data,Actelis Networks PE Ratio Historical Data,Actelis Networks PE Ratio Historical Data,Actelis Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-09-30,1.45,$-1.25,0.0
2024-06-30,2.31,$-1.48,0.0
2024-03-31,1.03,$-2.17,0.0
2023-12-31,1.12,$-2.76,0.0
2023-09-30,1.1,$-2.79,0.0
2023-06-30,3.18,$-3.77,0.0
2023-03-31,0.32,$-4.79,0.0
