United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data,United States Lime & Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.34,,24.87
2024-12-31,132.74,$3.79,34.99
2024-09-30,97.63,$3.45,28.3
2024-06-30,72.77,$3.02,24.13
2024-03-31,59.53,$2.80,21.29
2023-12-31,45.95,$2.61,17.59
2023-09-30,40.06,$2.40,16.72
2023-06-30,41.59,$2.22,18.7
2023-03-31,30.37,$1.89,16.03
2022-12-31,27.96,$1.60,17.47
2022-09-30,20.27,$1.49,13.62
2022-06-30,20.91,$1.33,15.7
2022-03-31,22.93,$1.36,16.81
2021-12-31,25.46,$1.31,19.49
2021-09-30,23.81,$1.29,18.4
2021-06-30,27.38,$1.23,22.33
2021-03-31,26.29,$1.05,25.04
2020-12-31,22.39,$1.00,22.43
2020-09-30,17.67,$0.92,19.2
2020-06-30,16.53,$0.94,17.55
2020-03-31,14.43,$0.94,15.35
2019-12-31,17.61,$0.93,19.01
2019-09-30,14.12,$0.90,15.72
2019-06-30,14.74,$0.71,20.82
2019-03-31,14.18,$0.73,19.43
2018-12-31,13.03,$0.70,18.62
2018-09-30,14.47,$0.96,15.01
2018-06-30,15.35,$1.00,15.29
2018-03-31,13.36,$0.96,13.98
2017-12-31,14.05,$0.97,14.49
2017-09-30,15.29,$0.70,21.97
2017-06-30,14.26,$0.71,20.02
2017-03-31,14.33,$0.66,21.84
2016-12-31,13.71,$0.64,21.56
2016-09-30,11.93,$0.58,20.64
2016-06-30,10.64,$0.56,18.93
2016-03-31,10.8,$0.52,20.69
2015-12-31,9.87,$0.46,21.45
2015-09-30,8.18,$0.51,15.97
2015-06-30,10.38,$0.50,20.6
2015-03-31,11.5,$0.62,18.67
2014-12-31,12.97,$0.69,18.74
2014-09-30,10.33,$0.65,15.84
2014-06-30,11.49,$0.63,18.23
2014-03-31,9.96,$0.59,16.82
2013-12-31,10.8,$0.53,20.3
2013-09-30,10.34,$0.57,18.02
2013-06-30,9.22,$0.54,16.95
2013-03-31,9.39,$0.52,17.92
2012-12-31,8.32,$0.57,14.49
2012-09-30,8.51,$0.58,14.62
2012-06-30,8.24,$0.66,12.44
2012-03-31,10.57,$0.70,15.19
2011-12-31,10.61,$0.70,15.24
2011-09-30,7.04,$0.65,10.84
2011-06-30,7.24,$0.57,12.7
2011-03-31,7.15,$0.57,12.63
2010-12-31,7.44,$0.56,13.23
2010-09-30,6.82,$0.56,12.23
2010-06-30,6.8,$0.56,12.23
2010-03-31,6.83,$0.49,14.05
2009-12-31,6.1,$0.43,14.31
