Martin Midstream Partners PE Ratio Historical Data,Martin Midstream Partners PE Ratio Historical Data,Martin Midstream Partners PE Ratio Historical Data,Martin Midstream Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.68,,0.0
2024-12-31,3.59,$-0.13,0.0
2024-09-30,3.65,$0.10,36.45
2024-06-30,3.22,$0.15,21.48
2024-03-31,2.55,$0.09,28.32
2023-12-31,2.38,$-0.12,0.0
2023-09-30,2.76,$-0.14,0.0
2023-06-30,2.13,$-0.82,0.0
2023-03-31,2.71,$-0.68,0.0
2022-12-31,2.96,$-0.26,0.0
2022-09-30,3.35,$0.02,167.32
2022-06-30,3.91,$0.56,6.99
2022-03-31,4.12,$0.22,18.75
2021-12-31,2.61,$-0.01,0.0
2021-09-30,3.13,$-0.34,0.0
2021-06-30,2.95,$-0.44,0.0
2021-03-31,2.41,$-0.33,0.0
2020-12-31,1.39,$-0.17,0.0
2020-09-30,1.13,$0.06,18.9
2020-06-30,1.15,$0.66,1.74
2020-03-31,1.04,$-4.10,0.0
2019-12-31,3.7,$-4.41,0.0
2019-09-30,3.97,$-4.58,0.0
2019-06-30,5.97,$-3.91,0.0
2019-03-31,10.06,$0.73,13.78
2018-12-31,8.0,$1.14,7.02
2018-09-30,8.69,$1.62,5.36
2018-06-30,9.95,$0.20,49.76
2018-03-31,9.42,$0.41,22.97
2017-12-31,9.47,$0.45,21.04
2017-09-30,10.19,$0.46,22.15
2017-06-30,11.2,$0.85,13.18
2017-03-31,12.44,$0.68,18.29
2016-12-31,11.13,$0.65,17.13
2016-09-30,11.81,$0.16,73.83
2016-06-30,13.11,$0.17,77.12
2016-03-31,11.0,$0.50,22.0
2015-12-31,11.32,$0.54,20.97
2015-09-30,12.37,$0.54,22.91
2015-06-30,15.25,$-0.26,0.0
2015-03-31,17.07,$-0.48,0.0
2014-12-31,12.6,$-0.42,0.0
2014-09-30,17.07,$-1.86,0.0
2014-06-30,18.46,$-1.03,0.0
2014-03-31,18.94,$-0.67,0.0
2013-12-31,18.49,$-0.49,0.0
2013-09-30,19.94,$1.22,16.35
2013-06-30,18.4,$4.28,4.3
2013-03-31,15.77,$4.20,3.76
2012-12-31,12.44,$3.99,3.12
2012-09-30,13.47,$3.78,3.56
2012-06-30,12.55,$0.91,13.79
2012-03-31,12.66,$1.03,12.29
2011-12-31,12.64,$0.93,13.59
2011-09-30,11.66,$1.17,9.97
2011-06-30,13.55,$1.16,11.68
2011-03-31,13.8,$0.89,15.51
2010-12-31,13.32,$0.63,21.15
2010-09-30,10.81,$0.48,22.53
2010-06-30,9.98,$0.55,18.14
2010-03-31,9.82,$0.94,10.45
2009-12-31,9.72,$1.18,8.24
