Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data,Kontoor Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,62.92,,14.4
2024-12-31,85.41,$4.37,19.54
2024-09-30,81.3,$4.44,18.31
2024-06-30,65.3,$4.23,15.44
2024-03-31,59.07,$3.95,14.95
2023-12-31,60.7,$4.06,14.95
2023-09-30,42.31,$3.76,11.25
2023-06-30,40.12,$3.61,11.11
2023-03-31,45.6,$4.06,11.23
2022-12-31,37.34,$4.30,8.68
2022-09-30,31.03,$4.14,7.49
2022-06-30,30.41,$4.31,7.06
2022-03-31,37.24,$3.62,10.29
2021-12-31,45.63,$3.31,13.79
2021-09-30,44.09,$3.30,13.36
2021-06-30,49.41,$3.28,15.07
2021-03-31,42.25,$2.30,18.37
2020-12-31,35.02,$1.16,30.19
2020-09-30,20.72,$0.92,22.52
2020-06-30,15.25,$0.12,127.06
2020-03-31,16.41,$1.37,11.98
