Palladyne AI PE Ratio Historical Data,Palladyne AI PE Ratio Historical Data,Palladyne AI PE Ratio Historical Data,Palladyne AI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.71,,0.0
2024-12-31,12.27,$-2.70,0.0
2024-09-30,1.79,$-2.16,0.0
2024-06-30,1.6,$-3.02,0.0
2024-03-31,1.81,$-3.94,0.0
2023-12-31,0.72,$-4.50,0.0
2023-09-30,0.85,$-6.75,0.0
2023-06-30,0.32,$-6.52,0.0
2023-03-31,0.47,$-6.36,0.0
2022-12-31,0.56,$-6.36,0.0
2022-09-30,2.22,$-4.20,0.0
2022-06-30,2.66,$-5.40,0.0
2022-03-31,6.65,$-4.44,0.0
2021-12-31,9.98,$-3.60,0.0
