SatixFy Communications PE Ratio Historical Data,SatixFy Communications PE Ratio Historical Data,SatixFy Communications PE Ratio Historical Data,SatixFy Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.4,,0.0
2024-09-30,0.71,$-0.40,0.0
2023-03-31,0.68,$-0.40,0.0
2022-12-31,7.77,0,0.0
