OPAL Fuels PE Ratio Historical Data,OPAL Fuels PE Ratio Historical Data,OPAL Fuels PE Ratio Historical Data,OPAL Fuels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.97,,10.94
2024-09-30,3.65,$0.18,20.28
2024-06-30,4.09,$0.08,51.13
2024-03-31,5.02,$0.75,6.69
2023-12-31,5.52,$0.70,7.89
2023-09-30,8.2,$0.77,10.65
2023-06-30,7.46,$0.72,10.36
2023-03-31,6.97,$0.14,49.79
2022-12-31,7.28,$0.20,36.4
2022-09-30,8.28,$0.02,414.0
2022-06-30,9.95,$0.08,124.38
2022-03-31,9.92,0,0.0
