Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.01,,19.21
2024-12-31,25.54,$1.51,16.91
2024-09-30,23.75,$1.66,14.31
2024-06-30,26.22,$1.75,14.99
2024-03-31,27.21,$1.73,15.73
2023-12-31,24.71,$2.14,11.55
2023-09-30,26.0,$2.91,8.93
2023-06-30,24.14,$3.99,6.05
2023-03-31,23.23,$5.24,4.43
2022-12-31,22.69,$5.11,4.44
2022-09-30,23.55,$4.95,4.76
2022-06-30,22.73,$3.60,6.32
2022-03-31,23.29,$2.15,10.83
2021-12-31,16.07,$1.72,9.34
2021-09-30,17.71,$0.89,19.9
2021-06-30,14.12,$0.77,18.33
2021-03-31,15.09,$0.77,19.6
2020-12-31,13.01,$0.59,22.05
2020-09-30,13.79,$0.62,22.24
2020-06-30,13.58,$0.80,16.97
2020-03-31,13.52,$1.15,11.75
2019-12-31,13.6,$1.63,8.34
2019-09-30,13.65,$1.91,7.15
2019-06-30,17.84,$1.97,9.05
2019-03-31,20.21,$1.63,12.4
2018-12-31,17.25,$1.27,13.59
2018-09-30,17.34,$0.53,32.72
2018-06-30,18.28,$0.29,63.03
2018-03-31,18.37,$0.25,73.47
2017-12-31,21.86,$0.22,99.37
2017-09-30,20.41,$-0.31,0.0
2017-06-30,19.1,$-0.37,0.0
2017-03-31,18.17,$-0.56,0.0
2016-12-31,17.74,$-0.91,0.0
2016-09-30,19.57,$-0.55,0.0
2016-06-30,19.51,$-0.57,0.0
2016-03-31,17.2,$-0.50,0.0
2015-12-31,13.38,$-0.28,0.0
2015-09-30,16.52,$-0.55,0.0
2015-06-30,23.82,$-0.27,0.0
2015-03-31,22.29,$0.08,278.6
2014-12-31,22.33,$0.24,93.05
2014-09-30,24.64,$0.97,25.4
2014-06-30,25.72,$0.90,28.57
2014-03-31,25.51,$0.83,30.73
2013-12-31,29.17,$0.67,43.53
2013-09-30,28.07,$0.58,48.81
2013-06-30,26.69,$0.49,54.47
2013-03-31,25.4,$0.45,56.45
2012-12-31,18.68,$0.44,42.46
2012-09-30,16.86,$0.41,41.11
2012-06-30,14.78,$0.39,37.67
2012-03-31,11.69,$0.35,33.16
2011-12-31,14.22,$0.29,48.63
2011-09-30,11.6,$0.35,33.62
2011-06-30,12.42,$0.29,43.19
2011-03-31,9.91,$0.21,47.2
2010-12-31,7.08,$0.25,28.31
2010-09-30,5.63,$0.22,25.57
2010-06-30,5.85,$0.31,19.17
2010-03-31,6.86,$0.32,21.79
2009-12-31,8.12,$0.36,22.56
