Travelzoo PE Ratio Historical Data,Travelzoo PE Ratio Historical Data,Travelzoo PE Ratio Historical Data,Travelzoo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.81,,17.26
2024-12-31,19.95,$0.80,24.94
2024-09-30,12.05,$1.07,11.26
2024-06-30,7.59,$0.97,7.82
2024-03-31,10.18,$0.91,11.19
2023-12-31,9.53,$0.83,11.48
2023-09-30,5.83,$0.76,7.67
2023-06-30,7.89,$0.66,11.95
2023-03-31,6.04,$0.57,10.6
2022-12-31,4.45,$0.53,8.4
2022-09-30,4.43,$0.08,55.38
2022-06-30,6.06,$0.24,25.25
2022-03-31,6.56,$0.38,17.26
2021-12-31,9.42,$0.05,188.4
2021-09-30,11.6,$0.36,32.22
2021-06-30,14.76,$0.02,738.0
2021-03-31,16.76,$-0.75,0.0
2020-12-31,9.44,$-1.19,0.0
2020-09-30,6.43,$-1.30,0.0
2020-06-30,5.64,$-1.15,0.0
2020-03-31,3.93,$-0.49,0.0
2019-12-31,10.7,$0.35,30.57
2019-09-30,10.69,$0.53,20.17
2019-06-30,15.44,$0.51,30.27
2019-03-31,13.4,$0.44,30.45
2018-12-31,9.83,$0.38,25.87
2018-09-30,11.85,$0.30,39.5
2018-06-30,17.1,$0.24,71.25
2018-03-31,7.28,$0.25,29.1
2017-12-31,6.45,$0.26,24.81
2017-09-30,8.6,$0.28,30.71
2017-06-30,10.95,$0.45,24.33
2017-03-31,9.65,$0.54,17.87
2016-12-31,9.4,$0.47,20.0
2016-09-30,12.83,$0.43,29.84
2016-06-30,8.02,$0.91,8.81
2016-03-31,8.12,$0.86,9.44
2015-12-31,8.37,$0.85,9.85
2015-09-30,8.27,$0.91,9.09
2015-06-30,11.28,$0.48,23.5
2015-03-31,9.64,$0.93,10.37
2014-12-31,12.62,$1.11,11.37
2014-09-30,15.5,$1.23,12.6
2014-06-30,19.35,$-0.18,0.0
2014-03-31,22.9,$-0.38,0.0
2013-12-31,21.32,$-0.33,0.0
2013-09-30,26.52,$-0.30,0.0
2013-06-30,27.26,$1.16,23.5
2013-03-31,21.37,$1.27,16.83
2012-12-31,18.99,$1.14,16.66
2012-09-30,23.57,$1.30,18.13
2012-06-30,22.72,$1.44,15.78
2012-03-31,23.0,$1.29,17.83
2011-12-31,24.58,$0.21,117.05
2011-09-30,21.99,$0.04,549.75
2011-06-30,64.64,$-0.10,0.0
2011-03-31,66.59,$-0.20,0.0
2010-12-31,41.38,$0.80,51.73
2010-09-30,25.76,$1.10,23.42
2010-06-30,12.38,$0.86,14.4
2010-03-31,15.01,$0.65,23.09
2009-12-31,12.29,$0.52,23.63
