Scinai Immunotherapeutics PE Ratio Historical Data,Scinai Immunotherapeutics PE Ratio Historical Data,Scinai Immunotherapeutics PE Ratio Historical Data,Scinai Immunotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.4,,0.0
2024-09-30,3.45,$-235.60,0.0
2024-06-30,2.78,$-250.60,0.0
2024-03-31,5.19,$-261.70,0.0
2023-12-31,5.95,$-269.70,0.0
2023-09-30,8.7,$-32.70,0.0
2023-06-30,14.1,$-25.50,0.0
2023-03-31,21.6,$-35.40,0.0
2022-12-31,29.6,$-43.40,0.0
2022-09-30,73.0,$-40.40,0.0
2022-06-30,116.5,$-61.00,0.0
2022-03-31,166.0,$-77.00,0.0
2021-12-31,235.0,$-76.00,0.0
2021-09-30,220.0,$-112.00,0.0
2021-06-30,287.0,$-89.00,0.0
2021-03-31,380.0,$-164.00,0.0
2020-12-31,281.0,$-153.00,0.0
2020-09-30,3909.0,$-174.00,0.0
2020-06-30,2275.0,$-175.00,0.0
2020-03-31,770.0,$-244.00,0.0
2019-09-30,595.62,$-247.00,0.0
2019-03-31,543.0,$-302.00,0.0
2018-12-31,477.0,$-366.00,0.0
2018-09-30,560.01,$-165.00,0.0
2018-06-30,667.0,$-234.00,0.0
2018-03-31,543.28,$-138.00,0.0
2017-09-30,715.0,$-94.00,0.0
2017-03-31,580.0,$-135.00,0.0
2016-12-31,335.0,$-69.00,0.0
2016-09-30,368.0,$-78.00,0.0
2016-06-30,350.0,$-61.00,0.0
2016-03-31,373.0,$-41.00,0.0
