"Sturm, Ruger PE Ratio Historical Data","Sturm, Ruger PE Ratio Historical Data","Sturm, Ruger PE Ratio Historical Data","Sturm, Ruger PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.57,,22.36
2024-12-31,35.37,$1.77,19.98
2024-09-30,41.56,$1.73,24.03
2024-06-30,41.35,$1.87,22.11
2024-03-31,45.64,$2.31,19.76
2023-12-31,44.72,$2.72,16.44
2023-09-30,51.1,$3.20,15.97
2023-06-30,51.58,$3.81,13.54
2023-03-31,55.61,$4.07,13.66
2022-12-31,48.64,$4.96,9.81
2022-09-30,44.34,$6.04,7.34
2022-06-30,55.12,$6.99,7.89
2022-03-31,59.67,$8.32,7.17
2021-12-31,57.6,$8.78,6.56
2021-09-30,61.81,$8.42,7.34
2021-06-30,74.46,$7.83,9.51
2021-03-31,54.05,$6.38,8.47
2020-12-31,52.71,$5.09,10.36
2020-09-30,49.12,$3.77,13.03
2020-06-30,57.3,$2.65,21.62
2020-03-31,38.16,$1.95,19.57
2019-12-31,35.1,$1.82,19.29
2019-09-30,31.09,$2.05,15.17
2019-06-30,40.43,$2.30,17.58
2019-03-31,39.13,$2.81,13.93
2018-12-31,39.06,$2.88,13.56
2018-09-30,50.5,$2.78,18.16
2018-06-30,40.72,$2.79,14.59
2018-03-31,37.97,$2.50,15.19
2017-12-31,40.21,$2.90,13.87
2017-09-30,37.06,$3.42,10.84
2017-06-30,44.35,$3.92,11.31
2017-03-31,37.92,$4.57,8.3
2016-12-31,37.01,$4.57,8.1
2016-09-30,40.25,$4.34,9.27
2016-06-30,44.28,$3.93,11.27
2016-03-31,46.96,$3.62,12.97
2015-12-31,40.75,$3.22,12.65
2015-09-30,39.92,$1.60,24.95
2015-06-30,38.85,$1.32,29.43
2015-03-31,33.37,$1.53,21.81
2014-12-31,23.21,$1.94,11.96
2014-09-30,32.51,$4.01,8.11
2014-06-30,39.05,$5.11,7.64
2014-03-31,39.28,$5.62,6.99
2013-12-31,47.6,$5.60,8.5
2013-09-30,40.47,$5.27,7.68
2013-06-30,30.68,$4.71,6.51
2013-03-31,32.09,$3.99,8.04
2012-12-31,28.51,$3.58,7.96
2012-09-30,28.4,$3.12,9.1
2012-06-30,22.85,$2.80,8.16
2012-03-31,27.77,$2.45,11.33
2011-12-31,18.83,$2.08,9.05
2011-09-30,14.55,$1.84,7.91
2011-06-30,12.23,$1.59,7.69
2011-03-31,12.74,$1.45,8.79
2010-12-31,8.46,$1.46,5.79
2010-09-30,7.51,$1.46,5.14
2010-06-30,7.83,$1.52,5.15
2010-03-31,6.52,$1.55,4.21
2009-12-31,5.25,$1.42,3.7
