Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data,Hancock Whitney PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.98,,9.84
2024-12-31,54.72,$5.28,10.36
2024-09-30,50.82,$4.46,11.4
2024-06-30,47.14,$4.25,11.09
2024-03-31,44.98,$4.29,10.48
2023-12-31,47.13,$4.50,10.47
2023-09-30,35.64,$5.57,6.4
2023-06-30,36.72,$6.00,6.12
2023-03-31,34.57,$6.03,5.73
2022-12-31,45.68,$5.98,7.64
2022-09-30,43.03,$5.88,7.32
2022-06-30,41.4,$5.79,7.15
2022-03-31,48.44,$5.41,8.95
2021-12-31,46.24,$5.22,8.86
2021-09-30,43.31,$4.84,8.95
2021-06-30,40.61,$4.28,9.49
2021-03-31,38.18,$1.92,19.88
2020-12-31,30.71,$-0.57,0.0
2020-09-30,16.83,$-0.71,0.0
2020-06-30,18.72,$-0.84,0.0
2020-03-31,17.05,$1.53,11.15
2019-12-31,38.03,$3.72,10.22
2019-09-30,32.97,$3.79,8.7
2019-06-30,34.22,$3.98,8.6
2019-03-31,34.28,$3.79,9.04
2018-12-31,29.22,$3.71,7.88
2018-09-30,39.82,$3.25,12.25
2018-06-30,38.86,$2.97,13.08
2018-03-31,42.87,$2.75,15.59
2017-12-31,40.86,$2.49,16.41
2017-09-30,39.8,$2.49,15.99
2017-06-30,40.04,$2.40,16.68
2017-03-31,37.03,$2.39,15.49
2016-12-31,34.86,$1.87,18.64
2016-09-30,26.08,$1.42,18.37
2016-06-30,20.84,$1.35,15.44
2016-03-31,18.17,$1.20,15.14
2015-12-31,19.72,$1.64,12.03
2015-09-30,21.02,$1.93,10.89
2015-06-30,24.57,$1.97,12.47
2015-03-31,22.81,$2.01,11.35
2014-12-31,23.27,$2.10,11.08
2014-09-30,24.11,$2.04,11.82
2014-06-30,26.38,$1.88,14.03
2014-03-31,27.18,$1.95,13.94
2013-12-31,27.01,$1.94,13.92
2013-09-30,22.95,$2.06,11.14
2013-06-30,21.82,$2.21,9.88
2013-03-31,22.25,$2.12,10.49
2012-12-31,22.65,$1.76,12.87
2012-09-30,21.95,$1.44,15.24
2012-06-30,21.39,$1.25,17.11
2012-03-31,24.75,$1.01,24.5
2011-12-31,22.13,$1.21,18.29
2011-09-30,18.41,$1.45,12.69
2011-06-30,21.1,$1.49,14.16
2011-03-31,22.2,$1.45,15.31
2010-12-31,23.39,$1.41,16.59
2010-09-30,20.03,$1.84,10.89
2010-06-30,22.04,$1.91,11.54
2010-03-31,27.44,$2.16,12.71
2009-12-31,28.59,$2.23,12.82
