Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data,Privia Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.29,,211.73
2024-12-31,19.55,$0.11,177.73
2024-09-30,18.21,$0.10,182.1
2024-06-30,17.38,$0.12,144.83
2024-03-31,19.59,$0.15,130.6
2023-12-31,23.03,$0.19,121.21
2023-09-30,23.0,$0.31,74.19
2023-06-30,26.11,$0.27,96.7
2023-03-31,27.61,$0.11,251.0
2022-12-31,22.71,$-0.11,0.0
2022-09-30,34.06,$-0.36,0.0
2022-06-30,29.12,$-0.46,0.0
2022-03-31,26.73,$-2.04,0.0
