Core Molding Technologies Inc PE Ratio Historical Data,Core Molding Technologies Inc PE Ratio Historical Data,Core Molding Technologies Inc PE Ratio Historical Data,Core Molding Technologies Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.13,,9.95
2024-12-31,16.54,$1.52,10.88
2024-09-30,17.21,$1.77,9.72
2024-06-30,15.94,$1.90,8.39
2024-03-31,18.93,$2.08,9.1
2023-12-31,18.53,$2.31,8.02
2023-09-30,28.49,$2.63,10.83
2023-06-30,22.75,$2.30,9.89
2023-03-31,17.99,$1.65,10.9
2022-12-31,12.99,$1.45,8.96
2022-09-30,9.93,$0.93,10.68
2022-06-30,9.19,$0.36,25.53
2022-03-31,10.76,$0.58,18.55
2021-12-31,8.51,$0.53,16.06
2021-09-30,11.51,$0.38,30.29
2021-06-30,15.43,$1.18,13.08
2021-03-31,11.73,$0.41,28.6
2020-12-31,14.08,$0.97,14.52
2020-09-30,8.86,$0.38,23.32
2020-06-30,4.12,$-0.79,0.0
2020-03-31,1.54,$-0.47,0.0
2019-12-31,3.25,$-1.93,0.0
2019-09-30,6.41,$-1.75,0.0
2019-06-30,7.47,$-1.20,0.0
2019-03-31,7.38,$-1.17,0.0
2018-12-31,7.11,$-0.61,0.0
2018-09-30,6.67,0,0.0
2018-06-30,14.28,$0.34,42.0
2018-03-31,17.77,$0.56,31.73
2017-12-31,21.56,$0.71,30.37
2017-09-30,21.75,$0.87,25.0
2017-06-30,21.37,$0.89,24.02
2017-03-31,17.64,$0.80,22.04
2016-12-31,16.92,$0.96,17.63
2016-09-30,16.72,$1.01,16.55
2016-06-30,13.5,$1.21,11.16
2016-03-31,12.34,$1.55,7.96
2015-12-31,12.69,$1.59,7.98
2015-09-30,18.25,$1.62,11.26
2015-06-30,22.59,$1.61,14.03
2015-03-31,16.98,$1.41,12.04
2014-12-31,13.85,$1.27,10.9
2014-09-30,14.16,$1.15,12.32
2014-06-30,12.86,$1.09,11.8
2014-03-31,12.59,$0.97,12.98
2013-12-31,13.55,$0.92,14.73
2013-09-30,9.48,$0.98,9.67
2013-06-30,8.82,$0.88,10.03
2013-03-31,8.73,$0.99,8.82
2012-12-31,6.55,$1.13,5.79
2012-09-30,7.27,$1.20,6.06
2012-06-30,8.15,$1.43,5.7
2012-03-31,9.1,$1.50,6.07
2011-12-31,8.0,$1.44,5.56
2011-09-30,7.65,$1.34,5.71
2011-06-30,8.87,$0.99,8.96
2011-03-31,7.65,$0.66,11.58
2010-12-31,5.7,$0.33,17.26
2010-09-30,4.35,$0.33,13.19
2010-06-30,5.39,$0.41,13.15
2010-03-31,3.29,$0.22,14.97
2009-12-31,2.84,$0.14,20.28
