Rent The Runway PE Ratio Historical Data,Rent The Runway PE Ratio Historical Data,Rent The Runway PE Ratio Historical Data,Rent The Runway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.55,,0.0
2024-10-31,9.18,$-22.16,0.0
2024-07-31,14.9,$-26.22,0.0
2024-04-30,10.15,$-30.05,0.0
2024-01-31,0.61,$-33.22,0.0
2023-10-31,0.54,$-34.20,0.0
2023-07-31,1.85,$-36.40,0.0
2023-04-30,2.61,$-39.00,0.0
2023-01-31,4.29,$-43.20,0.0
2022-10-31,1.95,$-47.60,0.0
2022-07-31,4.44,$-170.80,0.0
