Borealis Foods PE Ratio Historical Data,Borealis Foods PE Ratio Historical Data,Borealis Foods PE Ratio Historical Data,Borealis Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.05,,0.0
2024-09-30,5.72,$-1.01,0.0
2024-06-30,9.14,$-0.92,0.0
2024-03-31,5.85,$-0.70,0.0
2023-12-31,11.31,$-0.25,0.0
2023-09-30,11.04,$-0.21,0.0
2023-06-30,10.71,$-0.08,0.0
2023-03-31,10.47,$-0.02,0.0
2022-12-31,10.33,$-0.01,0.0
2022-09-30,10.11,$-0.05,0.0
