Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data,Tractor Supply PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.84,,25.41
2024-12-31,53.06,$2.04,26.01
2024-09-30,289.82,$2.06,140.96
2024-06-30,267.89,$2.07,129.16
2024-03-31,258.66,$2.05,125.93
2023-12-31,211.56,$2.02,104.84
2023-09-30,198.74,$2.05,97.04
2023-06-30,215.37,$2.00,107.58
2023-03-31,227.84,$1.94,117.32
2022-12-31,217.11,$1.94,111.79
2022-09-30,178.63,$1.84,96.98
2022-06-30,185.45,$1.81,102.35
2022-03-31,222.07,$1.74,127.33
2021-12-31,226.07,$1.72,131.13
2021-09-30,191.54,$1.57,122.15
2021-06-30,175.43,$1.50,116.8
2021-03-31,166.49,$1.44,115.3
2020-12-31,131.77,$1.28,103.27
2020-09-30,133.95,$1.29,104.0
2020-06-30,122.83,$1.17,105.17
2020-03-31,78.56,$0.95,82.87
2019-12-31,86.51,$0.93,92.83
2019-09-30,83.44,$0.91,91.49
2019-06-30,100.01,$0.90,111.37
2019-03-31,89.56,$0.88,102.23
2018-12-31,76.19,$0.86,88.18
2018-09-30,82.7,$0.82,101.35
2018-06-30,69.36,$0.77,90.08
2018-03-31,56.91,$0.68,83.44
2017-12-31,67.22,$0.66,101.85
2017-09-30,56.68,$0.67,84.09
2017-06-30,48.31,$0.66,72.76
2017-03-31,61.18,$0.65,94.7
2016-12-31,67.02,$0.65,102.48
2016-09-30,59.33,$0.63,94.17
2016-06-30,80.1,$0.62,128.36
2016-03-31,79.26,$0.62,128.67
2015-12-31,74.74,$0.60,124.56
2015-09-30,73.52,$0.60,122.94
2015-06-30,78.28,$0.58,134.96
2015-03-31,73.86,$0.55,135.28
2014-12-31,68.31,$0.53,128.41
2014-09-30,53.2,$0.51,105.13
2014-06-30,52.1,$0.49,106.77
2014-03-31,60.77,$0.47,128.48
2013-12-31,66.62,$0.47,143.27
2013-09-30,57.58,$0.44,130.86
2013-06-30,50.27,$0.42,120.55
2013-03-31,44.43,$0.39,114.81
2012-12-31,37.63,$0.38,99.02
2012-09-30,42.01,$0.37,115.11
2012-06-30,35.21,$0.35,99.47
2012-03-31,38.31,$0.33,115.39
2011-12-31,29.63,$0.30,98.45
2011-09-30,26.37,$0.27,96.95
2011-06-30,28.15,$0.26,109.52
2011-03-31,25.15,$0.24,106.32
2010-12-31,20.34,$0.23,90.41
2010-09-30,16.61,$0.21,79.09
2010-06-30,12.74,$0.20,64.68
2010-03-31,12.11,$0.17,71.43
2009-12-31,11.02,$0.16,69.97
