Strata Skin Sciences PE Ratio Historical Data,Strata Skin Sciences PE Ratio Historical Data,Strata Skin Sciences PE Ratio Historical Data,Strata Skin Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.66,,0.0
2024-09-30,2.75,$-2.66,0.0
2024-06-30,3.07,$-2.43,0.0
2024-03-31,3.78,$-3.30,0.0
2023-12-31,5.5,$-3.10,0.0
2023-09-30,5.95,$-2.00,0.0
2023-06-30,9.5,$-2.00,0.0
2023-03-31,10.59,$-1.60,0.0
2022-12-31,7.9,$-1.50,0.0
2022-09-30,8.71,$-1.70,0.0
2022-06-30,9.61,$-1.60,0.0
2022-03-31,14.7,$-0.80,0.0
2021-12-31,14.65,$-0.80,0.0
2021-09-30,18.4,$-0.70,0.0
2021-06-30,15.6,$-0.90,0.0
2021-03-31,16.7,$-1.70,0.0
2020-12-31,15.0,$-1.30,0.0
2020-09-30,13.5,$-1.40,0.0
2020-06-30,11.5,$-1.30,0.0
2020-03-31,9.5,$-0.80,0.0
2019-12-31,20.8,$-0.50,0.0
2019-09-30,21.5,$-0.30,0.0
2019-06-30,24.9,$-0.10,0.0
2019-03-31,28.5,$-0.70,0.0
2018-12-31,26.0,$-2.00,0.0
2018-09-30,35.4,$-3.00,0.0
2018-06-30,20.5,$-58.10,0.0
2018-03-31,11.7,$-62.70,0.0
2017-12-31,12.3,$-71.70,0.0
2017-09-30,17.7,$-75.20,0.0
2017-06-30,24.3,$-27.00,0.0
2017-03-31,30.25,$-33.30,0.0
2016-12-31,22.0,$-36.00,0.0
