American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data,American Homes 4 Rent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.47,,33.77
2024-12-31,37.42,$1.08,34.65
2024-09-30,38.12,$0.96,39.71
2024-06-30,36.67,$0.96,38.2
2024-03-31,36.03,$0.98,36.77
2023-12-31,34.98,$1.00,34.98
2023-09-30,32.57,$1.04,31.32
2023-06-30,34.07,$0.98,34.77
2023-03-31,30.04,$0.87,34.52
2022-12-31,28.58,$0.71,40.25
2022-09-30,30.94,$0.60,51.56
2022-06-30,33.25,$0.57,58.33
2022-03-31,37.35,$0.47,79.47
2021-12-31,40.5,$0.40,101.25
2021-09-30,35.32,$0.35,100.9
2021-06-30,35.9,$0.31,115.82
2021-03-31,30.73,$0.30,102.44
2020-12-31,27.57,$0.28,98.46
2020-09-30,26.13,$0.27,96.77
2020-06-30,24.64,$0.28,87.99
2020-03-31,21.21,$0.31,68.42
2019-12-31,23.91,$0.29,82.46
2019-09-30,23.58,$0.27,87.32
2019-06-30,22.09,$0.24,92.06
2019-03-31,20.61,$0.11,187.34
2018-12-31,17.96,$0.08,224.56
2018-09-30,19.81,$-0.06,0.0
2018-06-30,20.03,$-0.10,0.0
2018-03-31,18.09,$-0.05,0.0
2017-12-31,19.63,$-0.08,0.0
2017-09-30,19.46,$-0.01,0.0
2017-06-30,20.19,$-0.11,0.0
2017-03-31,20.49,$-0.15,0.0
2016-12-31,18.68,$-0.16,0.0
2016-09-30,19.22,$-0.25,0.0
2016-06-30,18.15,$-0.30,0.0
2016-03-31,14.05,$-0.34,0.0
2015-12-31,14.68,$-0.40,0.0
2015-09-30,14.12,$-0.39,0.0
2015-06-30,14.04,$-0.36,0.0
2015-03-31,14.45,$-0.35,0.0
2014-12-31,14.82,$-0.34,0.0
2014-09-30,14.65,$-0.33,0.0
2014-06-30,15.37,$-0.27,0.0
