Bluebird Bio PE Ratio Historical Data,Bluebird Bio PE Ratio Historical Data,Bluebird Bio PE Ratio Historical Data,Bluebird Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.96,,0.0
2024-09-30,10.39,$-37.40,0.0
2024-06-30,19.68,$-44.40,0.0
2024-03-31,25.6,$-49.40,0.0
2023-12-31,27.6,$-38.00,0.0
2023-09-30,60.8,$-14.80,0.0
2023-06-30,65.8,$-20.40,0.0
2023-03-31,63.6,$-34.20,0.0
2022-12-31,138.4,$-71.60,0.0
2022-09-30,126.6,$-122.00,0.0
2022-06-30,82.8,$-166.40,0.0
2022-03-31,97.0,$-210.80,0.0
2021-12-31,199.8,$-239.00,0.0
2021-09-30,228.05,$-256.40,0.0
2021-06-30,381.63,$-252.00,0.0
2021-03-31,359.79,$-187.60,0.0
2020-12-31,516.35,$-199.00,0.0
2020-09-30,643.8,$-219.60,0.0
2020-06-30,728.41,$-235.40,0.0
2020-03-31,548.45,$-299.20,0.0
2019-12-31,1047.15,$-286.20,0.0
2019-09-30,1095.72,$-259.80,0.0
2019-06-30,1517.92,$-239.80,0.0
2019-03-31,1877.47,$-227.00,0.0
2018-12-31,1183.78,$-213.40,0.0
2018-09-30,1742.26,$-209.40,0.0
2018-06-30,1872.93,$-189.40,0.0
2018-03-31,2037.61,$-165.80,0.0
2017-12-31,2125.32,$-153.20,0.0
2017-09-30,1639.04,$-140.40,0.0
2017-06-30,1253.59,$-147.20,0.0
2017-03-31,1084.74,$-144.40,0.0
2016-12-31,736.28,$-141.20,0.0
2016-09-30,808.84,$-129.40,0.0
2016-06-30,516.59,$-111.60,0.0
2016-03-31,507.17,$-111.20,0.0
2015-12-31,766.36,$-96.00,0.0
2015-09-30,1020.89,$-83.60,0.0
2015-06-30,2009.21,$-72.20,0.0
2015-03-31,1441.19,$-42.00,0.0
2014-12-31,1094.52,$-35.60,0.0
2014-09-30,428.17,$-29.00,0.0
2014-06-30,460.27,$-22.00,0.0
2014-03-31,271.36,$-63.40,0.0
