Oatly Group AB PE Ratio Historical Data,Oatly Group AB PE Ratio Historical Data,Oatly Group AB PE Ratio Historical Data,Oatly Group AB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.48,,0.0
2024-12-31,0.66,$-6.80,0.0
2024-09-30,0.85,$-13.80,0.0
2024-06-30,0.94,$-14.00,0.0
2024-03-31,1.13,$-16.00,0.0
2023-12-31,1.18,$-17.00,0.0
2023-09-30,0.9,$-11.20,0.0
2023-06-30,2.05,$-13.40,0.0
2023-03-31,2.42,$-12.80,0.0
2022-12-31,1.74,$-13.20,0.0
2022-09-30,2.63,$-11.60,0.0
2022-06-30,3.46,$-9.40,0.0
2022-03-31,5.01,$-9.20,0.0
