Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data,Magnolia Oil & Gas Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.33,,13.12
2024-12-31,23.38,$1.93,12.11
2024-09-30,24.3,$2.02,12.03
2024-06-30,25.09,$2.04,12.3
2024-03-31,25.56,$2.01,12.72
2023-12-31,20.84,$2.05,10.17
2023-09-30,22.31,$2.72,8.2
2023-06-30,20.25,$3.47,5.84
2023-03-31,21.07,$4.31,4.89
2022-12-31,22.47,$4.71,4.77
2022-09-30,18.91,$4.33,4.37
2022-06-30,19.95,$3.71,5.38
2022-03-31,22.48,$2.87,7.83
2021-12-31,17.77,$2.34,7.59
2021-09-30,16.75,$1.68,9.97
2021-06-30,14.64,$1.06,13.81
2021-03-31,10.75,$0.47,22.88
2020-12-31,6.61,$-7.24,0.0
2020-09-30,4.84,$-7.35,0.0
2020-06-30,5.68,$-7.35,0.0
2020-03-31,3.75,$-7.12,0.0
2019-12-31,11.78,$0.30,39.28
2019-09-30,10.4,$0.46,22.6
2019-06-30,10.85,$0.41,26.46
2019-03-31,11.24,$0.25,44.96
2018-12-31,10.5,$0.15,70.0
2018-09-30,14.06,$-0.06,0.0
2018-06-30,10.18,$-0.06,0.0
2018-03-31,9.47,$-0.02,0.0
