Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.95,,8.81
2024-12-31,60.5,$5.33,11.35
2024-09-30,50.64,$7.20,7.03
2024-06-30,47.14,$6.95,6.78
2024-03-31,47.47,$7.78,6.1
2023-12-31,39.8,$7.15,5.57
2023-09-30,36.5,$5.28,6.91
2023-06-30,46.8,$4.64,10.09
2023-03-31,34.38,$2.95,11.65
2022-12-31,32.35,$2.04,15.86
2022-09-30,27.62,$0.11,251.13
2022-06-30,28.52,$0.92,31.0
2022-03-31,38.96,$0.79,49.31
2021-12-31,38.47,$0.42,91.6
2021-09-30,41.95,$-0.13,0.0
2021-06-30,42.59,$-10.49,0.0
2021-03-31,47.53,$-20.52,0.0
2020-12-31,39.59,$-19.51,0.0
2020-09-30,30.11,$-16.61,0.0
2020-06-30,27.61,$-5.83,0.0
2020-03-31,28.09,$5.39,5.21
2019-12-31,57.18,$7.32,7.81
2019-09-30,55.9,$7.10,7.87
2019-06-30,54.73,$6.70,8.17
2019-03-31,49.51,$5.96,8.31
2018-12-31,47.49,$5.64,8.42
2018-09-30,54.7,$4.95,11.05
2018-06-30,46.54,$4.68,9.94
2018-03-31,51.19,$4.89,10.47
2017-12-31,52.0,$4.94,10.53
2017-09-30,44.51,$4.98,8.94
2017-06-30,49.29,$5.03,9.8
2017-03-31,41.97,$5.38,7.8
2016-12-31,44.75,$5.77,7.75
2016-09-30,35.64,$6.18,5.77
2016-06-30,32.81,$6.14,5.34
2016-03-31,43.7,$5.94,7.36
2015-12-31,45.36,$5.63,8.06
2015-09-30,40.05,$3.52,11.38
2015-06-30,36.56,$2.29,15.96
2015-03-31,39.93,$1.40,28.52
2014-12-31,43.6,$0.75,58.13
2014-09-30,31.97,$11.50,2.78
2014-06-30,34.16,$12.67,2.7
2014-03-31,30.52,$12.53,2.44
2013-12-31,24.15,$12.29,1.96
2013-09-30,20.69,$2.41,8.59
2013-06-30,16.37,$2.05,7.98
2013-03-31,14.44,$1.05,13.75
2012-12-31,10.38,$1.19,8.72
2012-09-30,8.01,$1.68,4.77
2012-06-30,9.58,$1.10,8.71
2012-03-31,8.67,$1.53,5.67
2011-12-31,7.08,$1.00,7.08
2011-09-30,6.56,$0.52,12.62
2011-06-30,8.02,$0.30,26.74
2011-03-31,8.57,$0.63,13.61
2010-12-31,11.02,$0.70,15.74
2010-09-30,10.18,$0.65,15.66
2010-06-30,10.28,$0.03,342.58
2010-03-31,12.76,$-0.84,0.0
2009-12-31,9.95,$-1.49,0.0
