New Concept Energy PE Ratio Historical Data,New Concept Energy PE Ratio Historical Data,New Concept Energy PE Ratio Historical Data,New Concept Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.88,,0.0
2024-09-30,1.15,$-0.03,0.0
2024-06-30,1.6,$-0.01,0.0
2024-03-31,1.05,$-0.03,0.0
2023-12-31,1.0,$-0.03,0.0
2023-09-30,1.15,$0.02,57.5
2023-06-30,1.22,$0.02,61.0
2023-03-31,1.06,$0.05,21.2
2022-12-31,1.09,$0.05,21.8
2022-09-30,1.12,$0.03,37.33
2022-06-30,1.54,$0.03,51.33
2022-03-31,2.84,$0.02,142.0
2021-12-31,2.38,$0.02,119.0
2021-09-30,4.26,$0.03,142.0
2021-06-30,6.1,$0.45,13.56
2021-03-31,4.29,$0.41,10.46
2020-12-31,1.94,$0.41,4.73
2020-09-30,1.43,$0.40,3.58
2020-06-30,1.23,$-0.48,0.0
2020-03-31,0.74,$-0.48,0.0
2019-12-31,1.23,$-0.47,0.0
2019-09-30,1.65,$-0.46,0.0
2019-06-30,1.84,$-0.07,0.0
2019-03-31,2.24,$-0.12,0.0
2018-12-31,1.4,$-0.21,0.0
2018-09-30,2.37,$-0.21,0.0
2018-06-30,4.22,$-0.20,0.0
2018-03-31,1.35,$-0.19,0.0
2017-12-31,1.56,$-0.20,0.0
2017-09-30,1.3,$-0.20,0.0
2017-06-30,1.39,$-0.23,0.0
2017-03-31,1.8,$-0.23,0.0
2016-12-31,2.16,$-0.30,0.0
2016-09-30,2.99,$-1.65,0.0
2016-06-30,1.81,$-1.61,0.0
2016-03-31,0.84,$-1.48,0.0
2015-12-31,1.08,$-1.17,0.0
2015-09-30,1.32,$-0.05,0.0
2015-06-30,1.51,$-0.11,0.0
2015-03-31,2.01,$-0.22,0.0
2014-12-31,1.51,$-0.40,0.0
2014-09-30,1.56,$-0.11,0.0
2014-06-30,3.31,$0.06,55.17
2014-03-31,1.95,$0.18,10.83
2013-12-31,1.82,$0.22,8.27
2013-09-30,1.23,$0.20,6.15
2013-06-30,1.05,$0.91,1.15
2013-03-31,1.33,$0.75,1.77
2012-12-31,1.22,$0.08,15.25
2012-09-30,1.07,$-6.07,0.0
2012-06-30,1.03,$-6.88,0.0
2012-03-31,2.76,$-6.76,0.0
2011-12-31,2.25,$-6.06,0.0
2011-09-30,2.38,$0.11,21.63
2011-06-30,2.6,$0.24,10.83
2011-03-31,3.69,$0.07,52.71
2010-12-31,4.06,0,0.0
2010-09-30,2.61,$-1.33,0.0
2010-06-30,3.59,$-1.40,0.0
2010-03-31,4.31,$-1.30,0.0
2009-12-31,5.15,$-1.27,0.0
