Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data,Watts Water Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,210.3,,24.2
2024-12-31,203.3,$8.69,23.39
2024-09-30,206.78,$8.34,24.79
2024-06-30,182.61,$8.24,22.16
2024-03-31,211.66,$8.06,26.26
2023-12-31,207.11,$7.82,26.48
2023-09-30,171.48,$8.20,20.91
2023-06-30,181.95,$7.99,22.77
2023-03-31,166.32,$7.80,21.32
2022-12-31,144.24,$7.48,19.28
2022-09-30,123.79,$6.61,18.73
2022-06-30,120.68,$6.23,19.37
2022-03-31,136.82,$5.27,25.96
2021-12-31,189.98,$4.89,38.85
2021-09-30,164.23,$4.57,35.94
2021-06-30,142.35,$4.17,34.14
2021-03-31,115.69,$3.65,31.69
2020-12-31,118.26,$3.36,35.2
2020-09-30,97.13,$3.43,28.32
2020-06-30,78.37,$3.40,23.05
2020-03-31,81.67,$3.87,21.1
2019-12-31,96.02,$3.84,25.01
2019-09-30,90.01,$3.76,23.94
2019-06-30,89.25,$3.74,23.86
2019-03-31,77.2,$3.73,20.7
2018-12-31,61.48,$3.64,16.89
2018-09-30,79.07,$2.72,29.07
2018-06-30,74.5,$2.57,28.99
2018-03-31,73.64,$2.31,31.88
2017-12-31,71.79,$2.12,33.87
2017-09-30,65.25,$2.70,24.17
2017-06-30,59.41,$2.56,23.21
2017-03-31,58.43,$2.60,22.47
2016-12-31,60.93,$2.44,24.97
2016-09-30,60.43,$-1.48,0.0
2016-06-30,54.15,$-2.84,0.0
2016-03-31,51.08,$-3.12,0.0
2015-12-31,45.87,$-3.26,0.0
2015-09-30,48.63,$-0.07,0.0
2015-06-30,47.59,$1.30,36.61
2015-03-31,50.36,$1.35,37.3
2014-12-31,57.9,$1.42,40.77
2014-09-30,53.03,$1.87,28.36
2014-06-30,56.06,$1.66,33.77
2014-03-31,53.15,$1.59,33.43
2013-12-31,55.91,$1.64,34.09
2013-09-30,50.83,$1.85,27.47
2013-06-30,40.78,$1.95,20.91
2013-03-31,43.05,$1.93,22.3
2012-12-31,38.47,$1.90,20.25
2012-09-30,33.75,$1.92,17.58
2012-06-30,29.66,$2.02,14.68
2012-03-31,36.14,$1.90,19.02
2011-12-31,30.25,$1.77,17.09
2011-09-30,23.49,$1.61,14.59
2011-06-30,31.08,$1.44,21.58
2011-03-31,33.42,$1.64,20.38
2010-12-31,31.93,$1.67,19.12
2010-09-30,29.62,$1.80,16.45
2010-06-30,24.84,$1.43,17.37
2010-03-31,26.83,$0.74,36.25
2009-12-31,26.61,$0.39,68.22
