Orchestra BioMed Holdings PE Ratio Historical Data,Orchestra BioMed Holdings PE Ratio Historical Data,Orchestra BioMed Holdings PE Ratio Historical Data,Orchestra BioMed Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.35,,0.0
2024-09-30,5.14,$-1.61,0.0
2024-06-30,8.15,$-1.58,0.0
2024-03-31,5.27,$-1.48,0.0
2023-12-31,9.13,$-1.50,0.0
2023-09-30,8.72,$-1.13,0.0
2023-06-30,7.0,$-0.75,0.0
2023-03-31,19.57,$-0.40,0.0
2022-12-31,9.98,0,0.0
2022-09-30,9.9,0,0.0
2022-06-30,9.96,0,0.0
2022-03-31,9.91,0,0.0
2021-12-31,10.08,0,0.0
2021-09-30,9.89,0,0.0
2021-06-30,10.2,0,0.0
