Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data,Horace Mann Educators PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.34,,16.67
2024-12-31,39.23,$2.48,15.82
2024-09-30,34.67,$2.51,13.81
2024-06-30,32.04,$1.96,16.35
2024-03-31,35.96,$1.56,23.05
2023-12-31,31.48,$1.08,29.15
2023-09-30,28.01,$-0.32,0.0
2023-06-30,27.96,$-0.27,0.0
2023-03-31,31.22,$-0.26,0.0
2022-12-31,34.51,$-0.07,0.0
2022-09-30,32.3,$1.34,24.11
2022-06-30,34.82,$1.40,24.87
2022-03-31,37.61,$2.81,13.38
2021-12-31,34.53,$3.39,10.18
2021-09-30,35.21,$3.56,9.89
2021-06-30,32.85,$4.04,8.13
2021-03-31,37.62,$3.66,10.28
2020-12-31,36.35,$3.17,11.47
2020-09-30,28.68,$2.82,10.17
2020-06-30,31.26,$2.55,12.26
2020-03-31,30.88,$4.06,7.61
2019-12-31,36.52,$4.39,8.32
2019-09-30,38.5,$3.12,12.34
2019-06-30,33.28,$2.82,11.8
2019-03-31,28.88,$0.72,40.12
2018-12-31,30.49,$0.43,70.9
2018-09-30,36.28,$3.92,9.25
2018-06-30,35.81,$4.26,8.41
2018-03-31,34.11,$4.17,8.18
2017-12-31,34.96,$4.06,8.61
2017-09-30,31.0,$1.54,20.13
2017-06-30,29.56,$1.55,19.07
2017-03-31,31.88,$1.79,17.81
2016-12-31,33.02,$2.03,16.26
2016-09-30,28.1,$2.05,13.71
2016-06-30,25.71,$1.92,13.39
2016-03-31,23.93,$2.01,11.9
2015-12-31,24.85,$2.21,11.24
2015-09-30,24.69,$2.42,10.2
2015-06-30,26.84,$2.50,10.73
2015-03-31,25.05,$2.60,9.63
2014-12-31,24.12,$2.46,9.81
2014-09-30,20.58,$2.56,8.04
2014-06-30,22.39,$2.53,8.85
2014-03-31,20.61,$2.68,7.69
2013-12-31,22.24,$2.67,8.33
2013-09-30,19.88,$2.63,7.56
2013-06-30,16.96,$2.84,5.97
2013-03-31,14.38,$2.53,5.68
2012-12-31,13.64,$2.51,5.43
2012-09-30,12.27,$2.54,4.83
2012-06-30,11.76,$2.32,5.07
2012-03-31,11.77,$1.70,6.92
2011-12-31,9.09,$1.68,5.41
2011-09-30,7.49,$1.24,6.04
2011-06-30,10.16,$1.17,8.68
2011-03-31,10.86,$2.03,5.35
2010-12-31,11.58,$1.96,5.91
2010-09-30,11.34,$2.14,5.3
2010-06-30,9.72,$2.13,4.56
2010-03-31,9.51,$2.03,4.69
2009-12-31,7.81,$1.81,4.31
