ENDRA Life Sciences PE Ratio Historical Data,ENDRA Life Sciences PE Ratio Historical Data,ENDRA Life Sciences PE Ratio Historical Data,ENDRA Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.03,,0.0
2024-09-30,7.04,$-901.15,0.0
2024-06-30,169.93,"$-1,590.91",0.0
2024-03-31,1015.0,"$-2,202.80",0.0
2023-12-31,3710.0,"$-3,374.13",0.0
2023-09-30,1942.68,"$-4,895.11",0.0
2023-06-30,2450.0,"$-5,944.06",0.0
2023-03-31,4007.32,"$-7,290.21",0.0
2022-12-31,7122.5,"$-8,111.89",0.0
2022-09-30,10710.0,"$-8,741.26",0.0
2022-06-30,8162.0,"$-9,090.91",0.0
2022-03-31,13650.0,"$-9,790.21",0.0
2021-12-31,24213.0,"$-9,440.56",0.0
2021-09-30,60550.0,"$-10,489.51",0.0
2021-06-30,76300.0,"$-13,636.36",0.0
2021-03-31,91000.0,"$-17,832.17",0.0
2020-12-31,26250.0,"$-25,874.13",0.0
2020-09-30,25602.5,"$-64,335.66",0.0
2020-06-30,33684.0,"$-75,174.83",0.0
2020-03-31,25277.0,"$-79,020.98",0.0
2019-12-31,58800.0,"$-81,818.18",0.0
2019-09-30,37100.0,"$-49,650.35",0.0
2019-06-30,59850.0,"$-58,041.96",0.0
2019-03-31,58100.0,"$-63,636.37",0.0
2018-12-31,52500.0,"$-75,874.14",0.0
2018-09-30,107100.0,"$-88,811.20",0.0
2018-06-30,89250.0,"$-72,377.63",0.0
2018-03-31,91000.0,"$-76,573.43",0.0
