Confluent PE Ratio Historical Data,Confluent PE Ratio Historical Data,Confluent PE Ratio Historical Data,Confluent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.62,,0.0
2024-12-31,27.96,$-1.08,0.0
2024-09-30,20.38,$-1.11,0.0
2024-06-30,29.53,$-1.18,0.0
2024-03-31,30.52,$-1.25,0.0
2023-12-31,23.4,$-1.47,0.0
2023-09-30,29.61,$-1.54,0.0
2023-06-30,35.31,$-1.65,0.0
2023-03-31,24.07,$-1.72,0.0
2022-12-31,22.24,$-1.61,0.0
2022-09-30,23.77,$-1.67,0.0
2022-06-30,23.24,$-1.63,0.0
2022-03-31,41.0,$-1.95,0.0
