UTStarcom Holdings Corp PE Ratio Historical Data,UTStarcom Holdings Corp PE Ratio Historical Data,UTStarcom Holdings Corp PE Ratio Historical Data,UTStarcom Holdings Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.4,,0.0
2024-06-30,2.75,$-0.44,0.0
2019-12-31,11.8,$-0.40,0.0
2019-09-30,11.96,$-0.12,0.0
2019-06-30,12.32,$0.36,34.22
2019-03-31,14.68,$0.16,91.75
2018-12-31,10.88,$0.56,19.42
2018-09-30,15.36,$0.28,54.86
2018-06-30,16.32,$0.28,58.29
2018-03-31,19.68,$0.28,70.29
2017-12-31,22.52,$-0.16,0.0
2017-09-30,9.6,$0.12,80.0
2017-06-30,9.36,$-0.32,0.0
2017-03-31,7.84,$0.20,39.2
2016-12-31,8.0,$0.08,100.0
2016-09-30,8.28,$-1.12,0.0
2016-06-30,7.66,$-1.48,0.0
2016-03-31,7.36,$-1.68,0.0
2015-12-31,9.92,$-2.12,0.0
2015-09-30,9.72,$-2.28,0.0
2015-06-30,7.96,$-2.60,0.0
2015-03-31,10.6,$-3.40,0.0
2014-12-31,11.32,$-3.20,0.0
2014-09-30,12.2,$-3.36,0.0
2014-06-30,11.72,$-2.44,0.0
2014-03-31,10.88,$-2.16,0.0
2013-12-31,11.08,$-2.32,0.0
2013-09-30,11.0,$-1.28,0.0
2013-06-30,10.64,$-3.00,0.0
2013-03-31,11.24,$-2.92,0.0
2012-12-31,12.38,$-2.76,0.0
2012-09-30,12.36,$-1.80,0.0
2012-06-30,14.28,$0.48,29.74
2012-03-31,17.4,$1.44,12.08
2011-12-31,16.56,$0.96,17.25
2011-09-30,12.24,$-1.20,0.0
2011-06-30,18.72,$-3.36,0.0
2011-03-31,28.2,$-5.04,0.0
2010-12-31,24.72,$-5.64,0.0
2010-09-30,26.04,$-7.56,0.0
2010-06-30,22.08,$-9.24,0.0
2010-03-31,33.48,$-16.32,0.0
2009-12-31,26.28,$-21.36,0.0
