TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data,TIM S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.97,,11.88
2024-09-30,17.22,$1.26,13.67
2024-06-30,14.32,$1.28,11.19
2024-03-31,17.75,$1.23,14.43
2023-12-31,18.47,$1.18,15.65
2023-09-30,14.9,$0.94,15.85
2023-06-30,15.29,$0.78,19.6
2023-03-31,12.36,$0.64,19.31
2022-12-31,11.65,$0.64,18.2
2022-09-30,11.18,$0.81,13.8
2022-06-30,12.15,$1.06,11.46
2022-03-31,14.34,$1.20,11.95
2021-12-31,11.51,$1.14,10.1
2021-09-30,10.45,$0.81,12.9
2021-06-30,11.21,$0.41,27.33
2021-03-31,10.94,$0.25,43.78
2020-12-31,13.42,$0.23,58.36
2020-09-30,10.84,$0.56,19.36
2020-06-30,12.17,$0.85,14.32
2020-03-31,11.44,$1.82,6.28
2019-12-31,17.86,$1.81,9.87
2019-09-30,13.42,$1.77,7.58
2019-06-30,13.99,$2.18,6.42
2019-03-31,14.1,$1.30,10.84
2018-12-31,14.34,$1.39,10.32
2018-09-30,13.55,$1.43,9.47
2018-06-30,15.64,$0.91,17.18
2018-03-31,20.04,$0.86,23.31
2017-12-31,17.86,$0.78,22.9
2017-09-30,16.79,$0.63,26.66
2017-06-30,13.6,$0.57,23.85
2017-03-31,14.68,$0.47,31.24
2016-12-31,10.84,$0.46,23.57
2016-09-30,11.24,$0.49,22.95
2016-06-30,9.69,$0.58,16.71
2016-03-31,10.16,$1.16,8.76
2015-12-31,7.79,$1.30,5.99
2015-09-30,8.68,$1.38,6.29
2015-06-30,15.03,$1.46,10.29
2015-03-31,15.23,$1.18,12.91
2014-12-31,20.4,$1.31,15.58
2014-09-30,24.07,$1.40,17.19
2014-06-30,26.67,$1.41,18.91
2014-03-31,23.52,$1.42,16.56
2013-12-31,23.77,$1.40,16.98
2013-09-30,21.35,$1.51,14.14
2013-06-30,16.85,$1.54,10.94
2013-03-31,19.46,$1.54,12.64
2012-12-31,17.63,$1.52,11.6
2012-09-30,17.09,$1.47,11.63
2012-06-30,24.42,$1.58,15.46
2012-03-31,28.47,$1.77,16.13
2011-12-31,22.77,$1.79,12.7
2011-09-30,20.79,$4.01,5.18
2011-06-30,43.43,$3.75,11.59
2011-03-31,37.5,$3.35,11.2
2010-12-31,29.33,$3.06,9.58
2010-09-30,28.34,$0.35,80.78
2010-06-30,23.32,$0.26,89.1
2010-03-31,23.46,$0.11,219.08
2009-12-31,25.11,$-0.10,0.0
