TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data,TFS Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.25,,43.75
2024-12-31,12.56,$0.28,44.86
2024-09-30,12.6,$0.27,46.66
2024-06-30,12.1,$0.28,43.21
2024-03-31,11.77,$0.27,43.59
2023-12-31,13.47,$0.26,51.8
2023-09-30,10.61,$0.27,39.31
2023-06-30,11.05,$0.29,38.1
2023-03-31,10.83,$0.29,37.35
2022-12-31,12.11,$0.29,41.76
2022-09-30,10.7,$0.27,39.63
2022-06-30,11.08,$0.24,46.17
2022-03-31,13.14,$0.24,54.75
2021-12-31,13.91,$0.26,53.5
2021-09-30,14.61,$0.29,50.39
2021-06-30,15.34,$0.28,54.79
2021-03-31,15.2,$0.32,47.5
2020-12-31,12.99,$0.30,43.28
2020-09-30,10.65,$0.30,35.49
2020-06-30,10.18,$0.33,30.85
2020-03-31,10.68,$0.29,36.83
2019-12-31,13.57,$0.30,45.25
2019-09-30,12.26,$0.28,43.79
2019-06-30,12.11,$0.28,43.25
2019-03-31,10.88,$0.29,37.53
2018-12-31,10.5,$0.30,35.01
2018-09-30,9.62,$0.30,32.06
2018-06-30,9.95,$0.30,33.15
2018-03-31,9.17,$0.31,29.58
2017-12-31,9.22,$0.31,29.74
2017-09-30,9.84,$0.31,31.75
2017-06-30,9.33,$0.31,30.11
2017-03-31,9.95,$0.30,33.15
2016-12-31,11.31,$0.29,39.0
2016-09-30,10.51,$0.28,37.54
2016-06-30,10.09,$0.28,36.04
2016-03-31,10.12,$0.27,37.5
2015-12-31,10.91,$0.25,43.64
2015-09-30,9.94,$0.25,39.77
2015-06-30,9.64,$0.22,43.81
2015-03-31,8.37,$0.22,38.06
2014-12-31,8.45,$0.22,38.4
2014-09-30,8.09,$0.21,38.52
2014-06-30,8.02,$0.21,38.18
2014-03-31,6.99,$0.20,34.94
2013-12-31,6.81,$0.19,35.85
2013-09-30,6.73,$0.18,37.39
2013-06-30,6.3,$0.13,48.44
2013-03-31,6.09,$0.08,76.18
2012-12-31,5.41,$0.04,135.21
2012-09-30,5.1,$0.03,169.98
2012-06-30,5.37,$0.06,89.49
2012-03-31,5.34,$0.08,66.76
2011-12-31,5.04,$0.09,55.97
2011-09-30,4.57,$0.04,114.27
2011-06-30,5.44,$-0.03,0.0
2011-03-31,5.97,$-0.02,0.0
2010-12-31,5.07,$-0.02,0.0
2010-09-30,5.17,$0.03,172.23
2010-06-30,6.98,$0.03,232.57
2010-03-31,7.47,$0.03,248.94
2009-12-31,6.75,$0.04,168.85
