Financial Institutions PE Ratio Historical Data,Financial Institutions PE Ratio Historical Data,Financial Institutions PE Ratio Historical Data,Financial Institutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.68,,9.99
2024-12-31,27.29,$2.57,10.62
2024-09-30,25.21,$3.18,7.93
2024-06-30,18.9,$3.22,5.87
2024-03-31,18.09,$2.51,7.21
2023-12-31,20.15,$3.16,6.38
2023-09-30,15.69,$3.31,4.74
2023-06-30,14.42,$3.31,4.36
2023-03-31,17.35,$3.39,5.12
2022-12-31,21.62,$3.56,6.07
2022-09-30,21.1,$4.01,5.26
2022-06-30,22.55,$4.18,5.39
2022-03-31,25.82,$4.44,5.82
2021-12-31,27.01,$4.78,5.65
2021-09-30,25.81,$4.41,5.85
2021-06-30,25.03,$4.10,6.11
2021-03-31,25.06,$3.52,7.12
2020-12-31,18.45,$2.30,8.02
2020-09-30,12.48,$2.25,5.55
2020-06-30,14.85,$2.29,6.48
2020-03-31,14.26,$2.31,6.17
2019-12-31,24.78,$2.96,8.37
2019-09-30,23.12,$2.62,8.82
2019-06-30,22.15,$2.48,8.93
2019-03-31,20.47,$2.53,8.09
2018-12-31,19.19,$2.39,8.03
2018-09-30,23.24,$2.62,8.87
2018-06-30,24.17,$2.50,9.67
2018-03-31,21.59,$2.16,9.99
2017-12-31,22.51,$2.12,10.62
2017-09-30,20.71,$2.01,10.3
2017-06-30,21.26,$2.05,10.37
2017-03-31,23.35,$2.12,11.01
2016-12-31,24.08,$2.10,11.47
2016-09-30,18.97,$1.97,9.63
2016-06-30,18.11,$1.97,9.19
2016-03-31,20.05,$1.94,10.33
2015-12-31,19.17,$1.90,10.09
2015-09-30,16.84,$2.00,8.42
2015-06-30,16.75,$1.93,8.68
2015-03-31,15.33,$1.97,7.78
2014-12-31,16.67,$2.01,8.29
2014-09-30,14.78,$1.90,7.78
2014-06-30,15.27,$1.83,8.34
2014-03-31,14.89,$1.82,8.18
2013-12-31,15.85,$1.74,9.11
2013-09-30,13.02,$1.74,7.48
2013-06-30,11.6,$1.60,7.25
2013-03-31,12.46,$1.59,7.83
2012-12-31,11.52,$1.59,7.25
2012-09-30,11.43,$1.55,7.37
2012-06-30,10.27,$1.64,6.26
2012-03-31,9.75,$1.57,6.21
2011-12-31,9.66,$1.48,6.52
2011-09-30,8.46,$1.47,5.75
2011-06-30,9.66,$1.53,6.32
2011-03-31,10.23,$1.53,6.69
2010-12-31,11.02,$1.60,6.89
2010-09-30,10.21,$1.64,6.22
2010-06-30,10.2,$1.44,7.08
2010-03-31,8.35,$1.21,6.9
2009-12-31,6.68,$1.00,6.68
