Clearwater Paper PE Ratio Historical Data,Clearwater Paper PE Ratio Historical Data,Clearwater Paper PE Ratio Historical Data,Clearwater Paper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.54,,2.09
2024-12-31,29.77,$11.73,2.54
2024-09-30,28.54,$0.86,33.19
2024-06-30,48.47,$2.68,18.09
2024-03-31,43.73,$5.98,7.31
2023-12-31,36.12,$6.36,5.68
2023-09-30,36.25,$4.98,7.28
2023-06-30,31.32,$4.02,7.79
2023-03-31,33.42,$3.13,10.68
2022-12-31,37.81,$2.70,14.0
2022-09-30,37.6,$3.60,10.44
2022-06-30,33.63,$2.50,13.45
2022-03-31,28.03,$-1.46,0.0
2021-12-31,36.67,$-1.72,0.0
2021-09-30,38.33,$-0.94,0.0
2021-06-30,28.97,$0.23,125.96
2021-03-31,37.62,$4.69,8.02
2020-12-31,37.75,$4.60,8.21
2020-09-30,37.94,$3.38,11.22
2020-06-30,36.13,$1.44,25.09
2020-03-31,21.81,$0.05,436.2
2019-12-31,21.36,$-0.34,0.0
2019-09-30,21.12,$-11.85,0.0
2019-06-30,18.49,$-9.11,0.0
2019-03-31,19.48,$-8.66,0.0
2018-12-31,24.37,$-8.73,0.0
2018-09-30,29.7,$7.54,3.94
2018-06-30,23.1,$5.51,4.19
2018-03-31,39.1,$5.57,7.02
2017-12-31,45.4,$5.86,7.75
2017-09-30,49.25,$1.54,31.98
2017-06-30,46.75,$1.54,30.36
2017-03-31,56.0,$2.27,24.67
2016-12-31,65.55,$2.87,22.84
2016-09-30,64.67,$2.96,21.85
2016-06-30,65.37,$4.12,15.87
2016-03-31,48.51,$3.72,13.04
2015-12-31,45.53,$2.97,15.33
2015-09-30,47.24,$0.93,50.8
2015-06-30,57.3,$0.03,1910.0
2015-03-31,65.3,$-0.17,0.0
2014-12-31,68.55,$-0.18,0.0
2014-09-30,60.11,$5.08,11.83
2014-06-30,61.72,$5.37,11.49
2014-03-31,62.67,$5.28,11.87
2013-12-31,52.5,$4.95,10.61
2013-09-30,47.77,$1.92,24.88
2013-06-30,47.06,$2.12,22.2
2013-03-31,52.69,$2.51,20.99
2012-12-31,39.16,$2.71,14.45
2012-09-30,41.31,$2.35,17.58
2012-06-30,34.12,$1.92,17.77
2012-03-31,33.21,$1.60,20.82
2011-12-31,35.61,$1.67,21.32
2011-09-30,33.98,$2.79,12.2
2011-06-30,34.14,$3.05,11.19
2011-03-31,40.7,$3.34,12.19
2010-12-31,39.15,$3.13,12.53
2010-09-30,38.04,$3.54,10.76
2010-06-30,27.38,$4.86,5.63
2010-03-31,24.63,$7.20,3.42
2009-12-31,27.49,$7.78,3.54
