Quipt Home Medical PE Ratio Historical Data,Quipt Home Medical PE Ratio Historical Data,Quipt Home Medical PE Ratio Historical Data,Quipt Home Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.31,,0.0
2024-12-31,3.05,$-0.17,0.0
2024-09-30,2.92,$-0.15,0.0
2024-06-30,3.22,$-0.11,0.0
2024-03-31,4.37,$-0.10,0.0
2023-12-31,5.09,$-0.09,0.0
2023-09-30,5.09,$-0.07,0.0
2023-06-30,5.34,$0.01,534.0
2023-03-31,7.01,$0.04,175.25
2022-12-31,4.71,$0.20,23.55
2022-09-30,4.17,$0.13,32.08
2022-06-30,4.62,$0.06,77.0
2022-03-31,4.39,$0.25,17.56
