Viomi Technology PE Ratio Historical Data,Viomi Technology PE Ratio Historical Data,Viomi Technology PE Ratio Historical Data,Viomi Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.93,,0.0
2024-06-30,0.93,$-0.46,0.0
2022-12-31,1.07,$-0.57,0.0
2022-09-30,1.24,$-0.30,0.0
2022-06-30,1.72,$-0.20,0.0
2022-03-31,1.74,$-0.02,0.0
2021-12-31,2.42,$0.19,12.74
2021-09-30,4.56,$0.37,12.32
2021-06-30,8.49,$0.50,16.98
2021-03-31,9.0,$0.42,21.43
2020-12-31,5.15,$0.36,14.31
2020-09-30,6.05,$0.31,19.52
2020-06-30,5.3,$0.38,13.95
2020-03-31,4.35,$0.54,8.06
2019-12-31,8.04,$0.58,13.86
2019-09-30,8.15,$0.51,15.98
2019-06-30,8.11,$-0.65,0.0
