CS Disco PE Ratio Historical Data,CS Disco PE Ratio Historical Data,CS Disco PE Ratio Historical Data,CS Disco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.46,,0.0
2024-12-31,4.99,$-0.92,0.0
2024-09-30,5.88,$-0.60,0.0
2024-06-30,5.96,$-0.47,0.0
2024-03-31,8.13,$-0.54,0.0
2023-12-31,7.59,$-0.71,0.0
2023-09-30,6.64,$-0.93,0.0
2023-06-30,8.22,$-1.25,0.0
2023-03-31,6.64,$-1.35,0.0
2022-12-31,6.32,$-1.21,0.0
2022-09-30,10.0,$-1.05,0.0
2022-06-30,18.04,$-0.90,0.0
