Chicago Atlantic Real Estate Finance PE Ratio Historical Data,Chicago Atlantic Real Estate Finance PE Ratio Historical Data,Chicago Atlantic Real Estate Finance PE Ratio Historical Data,Chicago Atlantic Real Estate Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.4,,10.34
2024-12-31,15.42,$1.49,10.35
2024-09-30,15.51,$2.00,7.76
2024-06-30,15.36,$1.98,7.76
2024-03-31,15.77,$1.99,7.92
2023-12-31,16.18,$2.12,7.63
2023-09-30,14.72,$2.02,7.29
2023-06-30,15.15,$2.03,7.46
2023-03-31,13.51,$1.98,6.82
2022-12-31,15.07,$1.82,8.28
2022-09-30,14.41,$1.41,10.22
