Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,145.34,,39.71
2024-12-31,162.41,$3.66,44.37
2024-09-30,161.67,$2.87,56.33
2024-06-30,134.3,$2.24,59.95
2024-03-31,149.44,$1.93,77.43
2023-12-31,138.02,$0.63,219.08
2023-09-30,125.62,$0.68,184.74
2023-06-30,151.32,$1.19,127.16
2023-03-31,149.49,$0.58,257.74
2022-12-31,131.47,$3.50,37.56
2022-09-30,119.28,$3.26,36.59
2022-06-30,129.92,$3.72,34.93
2022-03-31,127.12,$3.69,34.45
2021-12-31,158.37,$1.99,79.58
2021-09-30,149.35,$3.46,43.16
2021-06-30,161.22,$5.54,29.1
2021-03-31,171.86,$7.17,23.97
2020-12-31,178.98,$9.55,18.74
2020-09-30,185.33,$8.98,20.64
2020-06-30,192.5,$7.35,26.19
2020-03-31,151.19,$6.82,22.17
2019-12-31,133.09,$6.37,20.89
2019-09-30,130.71,$6.31,20.72
2019-06-30,130.94,$6.34,20.65
2019-03-31,136.37,$6.12,22.28
2018-12-31,130.17,$6.05,21.52
2018-09-30,126.23,$6.42,19.66
2018-06-30,112.71,$6.26,18.0
2018-03-31,110.01,$6.12,17.97
2017-12-31,122.21,$6.06,20.17
2017-09-30,107.67,$5.43,19.83
2017-06-30,108.06,$5.33,20.27
2017-03-31,108.71,$5.07,21.44
2016-12-31,96.13,$4.99,19.27
2016-09-30,99.59,$4.98,20.0
2016-06-30,109.45,$4.93,22.2
2016-03-31,99.1,$5.13,19.32
2015-12-31,99.09,$5.20,19.06
2015-09-30,89.7,$5.02,17.87
2015-06-30,80.2,$4.39,18.27
2015-03-31,84.54,$4.22,20.03
2014-12-31,79.26,$3.96,20.02
2014-09-30,72.5,$3.88,18.69
2014-06-30,68.44,$4.23,16.18
2014-03-31,65.39,$4.31,15.17
2013-12-31,68.36,$4.27,16.01
2013-09-30,59.75,$4.33,13.8
2013-06-30,60.29,$4.31,13.99
2013-03-31,63.75,$4.26,14.96
2012-12-31,52.29,$4.27,12.25
2012-09-30,51.01,$4.13,12.35
2012-06-30,50.85,$4.10,12.4
2012-03-31,47.83,$4.04,11.84
2011-12-31,45.91,$4.12,11.14
2011-09-30,45.35,$3.48,13.03
2011-06-30,45.73,$4.02,11.38
2011-03-31,47.13,$3.96,11.9
2010-12-31,42.2,$4.03,10.47
2010-09-30,44.16,$4.65,9.5
2010-06-30,40.78,$4.24,9.62
2010-03-31,41.75,$4.24,9.85
2009-12-31,39.38,$4.16,9.47
