Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data,Vulcan Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,238.72,,34.85
2024-12-31,257.23,$6.85,37.55
2024-09-30,250.0,$6.34,39.43
2024-06-30,247.79,$6.85,36.17
2024-03-31,271.46,$6.85,39.63
2023-12-31,225.41,$6.98,32.29
2023-09-30,200.19,$6.17,32.45
2023-06-30,222.97,$5.43,41.06
2023-03-31,169.3,$4.52,37.46
2022-12-31,172.4,$4.31,40.0
2022-09-30,154.92,$4.45,34.81
2022-06-30,139.27,$4.44,31.37
2022-03-31,179.6,$4.50,39.91
2021-12-31,202.51,$5.01,40.42
2021-09-30,164.72,$4.84,34.03
2021-06-30,169.17,$5.02,33.7
2021-03-31,163.67,$5.14,31.84
2020-12-31,143.53,$4.39,32.69
2020-09-30,130.85,$4.59,28.51
2020-06-30,111.55,$4.71,23.68
2020-03-31,103.71,$4.61,22.5
2019-12-31,137.8,$4.64,29.7
2019-09-30,144.42,$4.51,32.02
2019-06-30,130.84,$4.23,30.93
2019-03-31,112.54,$3.94,28.56
2018-12-31,93.65,$3.85,24.33
2018-09-30,105.12,$5.35,19.65
2018-06-30,121.7,$4.82,25.25
2018-03-31,107.42,$4.52,23.77
2017-12-31,120.51,$4.46,27.02
2017-09-30,112.05,$2.86,39.18
2017-06-30,118.42,$3.09,38.32
2017-03-31,112.4,$3.11,36.14
2016-12-31,116.52,$2.92,39.9
2016-09-30,105.72,$2.74,38.58
2016-06-30,111.69,$2.61,42.79
2016-03-31,97.8,$2.06,47.48
2015-12-31,87.8,$1.62,54.2
2015-09-30,82.39,$1.25,65.91
2015-06-30,77.44,$0.84,92.19
2015-03-31,77.69,$0.83,93.61
2014-12-31,60.51,$1.54,39.29
2014-09-30,55.39,$1.33,41.65
2014-06-30,58.57,$1.14,51.38
2014-03-31,61.0,$1.01,60.4
2013-12-31,54.51,$0.18,302.83
2013-09-30,47.52,$0.14,339.43
2013-06-30,44.39,$-0.06,0.0
2013-03-31,47.4,$-0.42,0.0
2012-12-31,47.71,$-0.40,0.0
2012-09-30,43.35,$-0.65,0.0
2012-06-30,36.38,$-0.61,0.0
2012-03-31,39.14,$-0.53,0.0
2011-12-31,36.04,$-0.55,0.0
2011-09-30,25.23,$-0.70,0.0
2011-06-30,35.01,$-0.75,0.0
2011-03-31,41.17,$-0.88,0.0
2010-12-31,39.82,$-0.77,0.0
2010-09-30,32.93,$-0.51,0.0
2010-06-30,38.84,$-0.18,0.0
2010-03-31,41.65,$0.21,198.33
2009-12-31,46.18,$0.22,209.9
