Future FinTech Group PE Ratio Historical Data,Future FinTech Group PE Ratio Historical Data,Future FinTech Group PE Ratio Historical Data,Future FinTech Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.19,,0.0
2024-09-30,0.38,$-0.50,0.0
2024-06-30,0.48,$-0.42,0.0
2024-03-31,1.0,$-0.43,0.0
2023-12-31,1.83,$-0.41,0.0
2023-09-30,1.11,$-0.41,0.0
2023-06-30,1.3,$-0.50,0.0
2023-03-31,1.06,$-0.55,0.0
2022-12-31,1.86,$-0.60,0.0
2022-09-30,2.3,$-0.60,0.0
2022-06-30,2.12,$-1.15,0.0
2022-03-31,3.79,$-1.05,0.0
2021-12-31,6.65,$-0.90,0.0
2021-09-30,10.45,$-0.90,0.0
2021-06-30,15.75,$-0.45,0.0
2021-03-31,31.0,$-0.50,0.0
2020-12-31,9.4,$16.85,0.56
2020-09-30,10.95,$16.85,0.65
2020-06-30,5.8,$17.20,0.34
2020-03-31,5.25,$17.30,0.3
2019-12-31,2.25,0,0.0
2019-09-30,4.05,0,0.0
2019-06-30,6.24,$-4.65,0.0
2019-03-31,3.6,$-5.80,0.0
2018-12-31,3.03,$-7.90,0.0
2018-09-30,6.3,$-7.90,0.0
2018-06-30,8.35,$-12.60,0.0
2018-03-31,10.25,$-13.95,0.0
2017-12-31,20.85,$-15.00,0.0
2017-09-30,9.35,$-15.00,0.0
2017-06-30,12.05,$-6.15,0.0
2017-03-31,29.75,$-3.05,0.0
2016-12-31,33.0,$-1.40,0.0
2016-09-30,46.05,$-1.45,0.0
2016-06-30,10.95,$-1.75,0.0
2016-03-31,14.2,$0.85,16.7
2015-12-31,27.2,$4.75,5.73
2015-09-30,33.2,$8.80,3.77
2015-06-30,54.4,$16.40,3.32
2015-03-31,45.6,$13.20,3.45
2014-12-31,39.02,$11.60,3.36
2014-09-30,42.4,$14.80,2.86
2014-06-30,55.2,$12.40,4.45
2014-03-31,74.0,$13.60,5.44
2013-12-31,70.0,$18.40,3.8
2013-09-30,79.6,$24.40,3.26
2013-06-30,80.8,$27.60,2.93
2013-03-31,92.0,$30.00,3.07
2012-12-31,80.8,$27.20,2.97
2012-09-30,64.0,$21.20,3.02
2012-06-30,64.0,$16.40,3.9
2012-03-31,60.8,$15.20,4.0
2011-12-31,74.4,$20.40,3.65
2011-09-30,73.2,$31.60,2.32
2011-06-30,107.2,$34.80,3.08
2011-03-31,176.4,$41.20,4.28
2010-12-31,186.0,$36.40,5.11
2010-09-30,187.2,$41.60,4.5
2010-06-30,202.0,$40.00,5.05
2010-03-31,239.6,$34.80,6.89
2009-12-31,164.8,$34.00,4.85
